Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils
60480G,Meanscoil Iognáid Rís,http://www.drimnaghcastle.ie/,Long Mile Road,Walkinstown,Dublin 12,,Dublin,D12K682,14518316,info@drimnaghcastle.ie,MR. JOHN J DEVILLY,Y,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,596,596
60481I,St. Aidan's C.B.S.,http://www.staidanscbs.com/,Collins Avenue Ext,Whitehall,Dublin 9,,Dublin,D09XT54,18377587,secretary@staidanscbs.ie,MR. THOMAS SHANNON,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,706,706
60490J,C.B.S. Westland Row,http://www.cbswestlandrow.ie/,Westland Row,Dublin 2,,,Dublin,D02YX80,16614143,info@cbswestlandrow.ie,MS. KATE BYRNE,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,48,57,105
60491L,St Declan's College,http://stdeclanscollege.ie/,Nephin Road,Cabra,Dublin 7,,Dublin,D07NN63,18380357,info@stdeclanscollege.ie,MR. BRIAN AVERY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,632,632
60500J,Marian College,https://www.mariancollege.ie/,Ballsbridge,Dublin 4,,,Dublin,D04W268,16684036,omccaul@mariancollege.ie,MISS OONAGH CELINE MC CAUL,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,399,399
60510M,St Johns College De La Salle,,Le Fanu Rd,Ballyfermot,Dublin 10,,Dublin,D10X592,16264943,johnscollegereception@gmail.com,MS. ANN MARIE LEONARD,Y,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,328,328
60511O,Beneavin De La Salle College,http://beneavin.com/,Beneavin Road,Finglas,Dublin 11,,Dublin,D11NH7E,18341410,beneavinprincipal@gmail.com,MS. AIDEEN CASSIDY,Y,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,448,448
60520P,Belvedere College S.J,http://www.belvederecollege.ie/,6 Great Denmark Street,Dublin 1,,,Dublin,D01TK25,18586600,dreddy@belvederecollege.ie,MR. GERRY FOLEY,N,Boys,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,,"1,008","1,008"
60530S,Gonzaga College,https://www.gonzaga.ie/,Sandford Road,Ranelagh,Dublin 6,,Dublin,D06KF95,14972931,headmaster@gonzaga.ie,MR. DAMON MCCAUL,N,Boys,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,,550,550
60540V,Catholic University School,https://cus.ie/,89 Lower Leeson Street,Dublin 2,,,Dublin,D02KC81,16762586,juniorschool@cus.ie,MR. THOMAS BYRNE,N,Boys,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,,503,503
60550B,Chanel College,https://www.chanelcollege.ie/,Coolock Village,Malahide Road,Dublin 5,,Dublin,D05EY86,18480655,chaneloffice@chanelcollege.ie,MR. DECLAN MOWLDS,Y,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,606,606
60560E,St Marys College,https://sites.google.com/a/stmarys.ie/homepage/,Rathmines,Dublin 6,,,Dublin,D06CH79,14995700,Isabellekelly@stmarys.ie,MR. CLIVE BYRNE,N,Boys,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,,438,438
60561G,St Michaels College,http://www.stmc.ie/,Ailesbury Road,Dublin 4,,,Dublin,D04NC59,12189400,tkelleher@gmail.com,MR. T M KELLEHER,N,Boys,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,,641,641
60562I,Templeogue College,http://www.templeoguecollege.ie/,Templeville Road,Dublin 6W,,,Dublin,D6WE622,14905788,info@templeoguecollege.ie,MISS AOIFE ANN-MARIE O DONNELL,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,688,688
60570H,Terenure College,http://www.terenurecollege.ie/,Templeogue Road,Terenure,Dublin 6w,,Dublin,D6WDK72,44997000,fr.eanna@terenurecollege.ie,FR. EANNA RISTEARD O HOBAIN,N,Boys,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,,682,682
60581M,St Kevins College,http://www.stkevinscollege.com/,Ballygall Rd East,Finglas,Dublin 11,,Dublin,D11VF10,18371423,info@stkevinscollege.com,MS. SARAH BARRY,Y,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,527,527
60590N,St Conleths College,http://stconleths.ie/,28 Clyde Road,Ballsbridge,Dublin 4,,Dublin,D04FT98,16680022,odulaingd@stconleths.ie,MR. DONAL E O DULAING,N,Mixed,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,64,205,269
60630W,St Kilian's Deutsche Schule,https://www.kilians.com/,Roebuck Road,Clonskeagh,Dublin 14,,Dublin,D14P7F2,12883323,alice.lynch@kilians.com,MISS ALICE LYNCH,N,Mixed,Day,No subjects taught through Irish,N,Y,INTER DENOMINATIONAL,Open,169,227,396
60640C,Sandford Park School Ltd,www.sandfordparkschool.ie,Sandford Road,Ranelagh,Dublin 6,,Dublin,D06FN29,14971417,ebyrne@sandfordparkschool.ie,MISS EDITH ANN MARIE BYRNE,N,Mixed,Day,No subjects taught through Irish,N,Y,INTER DENOMINATIONAL,Open,123,226,349
60650F,St Andrews College,www.sac.ie,Booterstown Ave,Blackrock,Co Dublin,,Dublin,A94XN72,12882785,information@st-andrews.ie,MS. JOAN KIRBY,N,Mixed,Day,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,500,496,996
60660I,St Patricks Cathedral G.S,http://spcgs.ie/,St Patricks Close,Dublin 8,,,Dublin,D08WK19,14543388,principal@stpatrickscgs.ie,MR. TIMOTHY GILL,N,Mixed,Day,No subjects taught through Irish,N,N,CHURCH OF IRELAND,Open,79,100,179
60670L,The High School,www.highschooldublin.com,Zion Road,Rathgar,Dublin 6,,Dublin,D06YR68,14922611,office@highschooldublin.com,MR. ANDREW FORREST,N,Mixed,Day,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,307,399,706
60690R,Dominican College,http://www.dominican-college.com/,Griffith Ave,Drumcondra,Dublin 9,,Dublin,D09A5X0,18376080,admin@dominican-college.com,MISS OLIVE LAFFOY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,731,,731
60700R,Scoil Chaitriona,http://scoilchaitriona.ie/,Bóthar Mobhí,Glasnaíon,Ath Cliath 9,,Dublin,D09TW99,18370762,oifig@scoilchaitriona.ie,MS. CARMEL GRAY,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,CATHOLIC,Open,253,196,449
60710U,Muckross Park College,http://www.muckrossparkcollege.com/,Donnybrook,Dublin 4,,,Dublin,D04CF59,14914033,ammee@muckrossparkcollege.com,MISS ANNE MEE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,701,,701
60720A,Saint Dominic's Secondary School,https://stdominicsballyfermot.ie/,Kylemore Road,Ballyfermot,Dublin 10,,Dublin,D10RD29,16266493,MCosgrove@stdominicsballyfermot.ie,MISS MARY DALY,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,320,,320
60731F,St Dominics College,https://stdominics.ie/,Cabra,Dublin 7,,,Dublin,D07NX47,18385282,admin@stdominics.ie,MISS MARY KEANE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,844,,844
60732H,Caritas College,www.caritascollege.ie,Drumfinn Road,Dublin 10,,,Dublin,D10RR94,16265927,info@caritascollege.ie,MISS SANDRA ANTOINETTE DOYLE,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,184,,184
60741I,St Michaels Secondary School,http://www.stmaryshfcglasnevin.com/,Wellmount Road,Finglas,Dublin 11,,Dublin,D11H521,18341767,stmichaelshfss.ias@eircom,MR. JOHN B BARRY,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,645,,645
60750J,Holy Faith Secondary School,,1 Belgrove Road,Clontarf,Dublin 3,,Dublin,D03R528,18331507,admin@holyfaithclontarf.com,MISS DEIRDRE GOGARTY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,638,,638
60770P,St Mary's Secondary School,,Holy Faith Convent,Glasnevin,Dublin 11,,Dublin,D11X478,18374413,stmarysglasnevin@eircom.net,MISS BERNADETTE BOURKE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,771,,771
60791A,St Marys Secondary School,http://www.stmaryshfcglasnevin.com/,Brookwood Meadow,Killester,Dublin 5,,Dublin,D05K588,18310963,admin@hfk.ie,MS. EVELYN MC LOUGHLIN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,315,,315
60792C,Presentation College,http://warrenmountsecondary.ie/,Warrenmount,Dublin 8,,,Dublin,D08W0X7,14547520,info@warrenmountss.ie,MS. GWENDOLEN BRENNAN,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,217,,217
60800V,Loreto College,http://www.loretocrumlin.ie/,Crumlin Road,Dublin 12,,,Dublin,D12E196,14542380,loretocrumlin@eircom.net,MRS. BLATHNAIDH COLHOUN,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,400,,400
60810B,Loreto College,http://www.loretoswords.ie/,Swords,Co Dublin,,,Dublin,K67Y319,18407025,office@loretoswords.ie,MR. PETER MCNAMARA,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,625,,625
60820E,Loreto College,http://www.loretothegreen.ie/,53 St Stephens Green,Dublin 2,,,Dublin,D02XE79,16618179,info@loretothegreen.ie,MS. JACQUELINE DEMPSEY,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,576,,576
60840K,Maryfield College,http://maryfieldcollege.ie/,Glandore Road,Drumcondra,Dublin 9,,Dublin,D09AE64,18373574,admin@maryfieldcollege.ie,MS. MAREE O ROURKE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,646,,646
60841M,Rosary College,http://www.rosarycollege.ie/,Armagh Road,Crumlin,Dublin 12,,Dublin,D12R726,14555824,mfitzfiles@gmail.com,MS. JEAN DOYLE,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,68,77,145
60843Q,St Josephs Secondary School,http://www.stanhopesecondary.ie/,Stanhope St,Dublin 7,,,Dublin,D07YP03,16710419,info@stanhopesecondary.ie,MR. JOHN OBRIEN,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,214,,214
60851P,Assumption Secondary School,,Walkinstown,Dublin 12,,,Dublin,D12PK75,14507017,assumptionprincipal@hotmail.com,MS. SIOBHAIN HOEY,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,260,,260
60853T,Mount Carmel Secondary School,https://sites.google.com/site/mountcarmelsec/home,Kings Inn Street,Dublin 1,,,Dublin,D01W657,18730958,info@mountcarmel.ie,MR. GERARD CULLEN,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,391,,391
60860Q,Our Ladys School,http://olschool.ie/,Templeogue Rd,Terenure,Dublin 6W,,Dublin,D6WKF44,14903241,principal@olschool.ie,MS. PAULINE ELLEN MEANY,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,768,,768
60870T,Our Lady Of Mercy College,https://www.scoilnet.ie/static/,Beaumont,Dublin 9,,,Dublin,D09V327,18371478,mercybeaumont@eircom.net,MS. ROSEMARY LYNCH,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,407,,407
60871V,Mercy College Coolock,http://www.mercycoolock.ie/,St Brendans Drive,Coolock,Dublin 5,,Dublin,D05C958,18480888,info@mercycoolock.ie,MS. PATRICIA DWYER,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,427,,427
60872A,Mercy Secondary School,http://mercyinchicore.ie/,Goldenbridge,Inchicore,Dublin 8,,Dublin,D08Y4X0,14531262,info@mercyinchicore.ie,MS. TREASA LEAHY,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,163,,163
60890C,St Louis High School,http://www.stlouishighschool.ie/,Charleville Road,Rathmines,Dublin 6,,Dublin,D06F860,14975458,stlouishs.rathmines@gmail.com,MS. CLIONA MCDONOUGH,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,668,,668
60891E,Jesus and Mary College,http://www.jesusandmarycollege.ie/,Our Lady's Grove,Goatstown Road,Dublin 14,,Dublin,D14AK75,12951913,office@jesusandmarycollege.ie,MS. JOYCE KAVANAGH,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,327,,327
60892G,The Teresian School,http://teresian.ie/,12 Stillorgan Road,Donnybrook,Dublin 4,,Dublin,D04E9X5,12691376,secretary@teresian.ie,Brenda Hynes,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,196,,196
60902G,St Pauls Secondary School,http://stpaulsg.ie/,Greenhills,Dublin 12,,,Dublin,D12E544,14505682,info@stpaulsg.ie,MS. MAJELLA DEASY,Y,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,496,,496
60910F,Alexandra College,https://alexandracollege.eu/,Milltown,Dublin 6,,,Dublin,D06KX50,14977571,info@alexandracollege.ie,MRS. BARBARA ENNIS,N,Girls,Mixed,No subjects taught through Irish,N,Y,CHURCH OF IRELAND,Open,565,,565
60930L,Rosemont School,http://rosemont.ie/,Enniskerry Road,Sandyford,Dublin 18,,Dublin,D18A8N2,12078007,info@rosemont.ie,MS. JANET DEAN,N,Girls,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,150,,150
60991I,Our Lady Of Mercy Secondary School,http://www.olmdrimnagh.com/,Mourne Road,Drimnagh,Dublin 12,,Dublin,D12HT22,14554691,admin@olmdrimnagh.com,MR. PADHRAIC GIBBONS,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,150,219,369
61010U,Wesley College,http://www.wesleycollege.ie/,Ballinteer,Dublin 16,,,Dublin,D16NX73,12987066,info@wesleycollege.ie,MR. CHRISTOPHER WOODS,N,Mixed,Mixed,No subjects taught through Irish,N,Y,METHODIST,Open,431,476,907
61020A,Stratford College,http://www.stratfordcollege.ie/,1 Zion Road,Rathgar,Dublin 6,,Dublin,D06T9V3,14922315,admin@stratfordcollege.ie,MS. P. GORDON,N,Mixed,Day,No subjects taught through Irish,N,Y,JEWISH,Open,67,76,143
68071G,John Scottus Secondary School,http://www.johnscottus.ie/,Old Conna House,Ferndale Road,Rathmichael,Co. Dublin,Dublin,A98FN12,16680828,dkelly@johnscottus.ie,DR. DECLAN KELLY,N,Mixed,Day,No subjects taught through Irish,N,Y,INTER DENOMINATIONAL,Open,57,70,127
68082L,Coláiste Ghlór na Mara,http://www.colaisteghlornamara.ie/,Bóthar na hÁille,Baile Brigín,Co. Átha Cliath,,Dublin,K32WV18,16904481,runai@cgnm.ie,MS. MAEDHBH ABAYAWICKREMA,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,MULTI DENOMINATIONAL,Open,90,90,180
68083N,Le Cheile Secondary School,http://lecheilesecondaryschool.ie/,Hollystown Road,Tyrellstown,Dublin 15,,Dublin,D15NX98,,,MS. AINE MORAN,N,Mixed,,No subjects taught through Irish,N,N,CATHOLIC,Open,220,238,458
68101M,Hansfield Education Together Secondary School,http://www.hansfieldsecondary.ie/,Hansfield,Barnwell Road,Handsfield,Dublin 15,Dublin,D15H1FC,,info@hetss.ie,MS. BERNADETTE JUDGE,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,181,217,398
68161H,Gaelcholáiste an Phiarsaigh,http://www.gaelcholaiste.com/,Bóthar na Gráinsí,Ráth Fearnáin,Baile Átha Cliath 14,,Dublin,D14PP82,,joe@gaelcholaiste.com,MR. JOE MAC SUIBHNE,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,MULTI DENOMINATIONAL,Open,73,78,151
68181N,New Cross College,,Cappagh,Finglas,Dublin 11,,Dublin,D11NC56,,admin@newcross.ie,MR. DEREK LYNCH,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,86,124,210
68241F,Stepaside Educate Together Secondary School,www.stepasideetss.ie,Belarmine,Stepaside,,Dublin 18,Dublin,D18DC56,,admin@stepasideetss.ie,MISS BARBARA MULHALL,N,Mixed,,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,38,50,88
68262N,Bremore Educate Together Secondary School,www.bremoreetss.com,Naul Road,Balbriggan,Co Dublin,,Dublin,K32F680,18415897,,MS. KATHLEEN JONES,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,46,100,146
68306H,Edmund Rice College,,Old School of Horology,Mill Road,Blanchardstown,Dublin 15,Dublin,D15NX98,870922685,,MR. BRENDAN HARRINGTON,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,6,14,20
70010V,Balbriggan Community College,http://www.balbriggancomunitycollege.com/,Pine Ridge,Chapel St.,Balbriggan,Co Dublin,Dublin,K32HE19,18412388,cshirran@ddletb.ie,Emmett Sheridan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,133,331,464
70020B,Grange Community College,http://www.grangecc.ie/,Grange Road,Donaghmede,Dublin 13,,Dublin,D13NX25,18471422,grangeccadmin@ddletb.ie,Adrian P Flynn,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,63,138,201
70021D,Coláiste de hÍde,http://www.colaistedehide.ie/,Br Thish Motháin Thuaidh,Br Chaisleáin Thigh Mótháin,Tamhlacht,Baile Atha Cliath 24,Dublin,D24NP82,14519184,deiric@colaistedehide.ie,Deiric Mac An Bhaird,Y,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,164,132,296
70040H,Deansrath Community College,http://www.deansrathcommunitycollege.ie/,New Nangor Road,Clondalkin,Dublin 22,,Dublin,D22RY77,14574144,info@deansrathcc.ie,Helen Taylor,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,137,157,294
70041J,Collinstown Park Community College,http://www.collinstownpark.ie/,Neilstown Road,Rowlagh,Clondalkin,Dublin 22,Dublin,D22X458,14572300,collinstown@ddletb.ie,Ms Pauline Duffy,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,263,311,574
70042L,St. Kevin's Community College,http://www.stkevinscc.ie/,Fonthill Road,Clondalkin,Dublin 22,,Dublin,D22K314,16266277,stkevinscc@ddletb.ie,Tony Barry,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,161,184,345
70080T,Lucan Community College,http://www.lucancc.ie/,Esker Drive,Lucan,Co Dublin,,Dublin,K78TF67,16282077,admin@lucancc.ie,Diane Birnie,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,394,507,901
70081V,Colaiste Ghleann na hAbhann,http://www.ddletb.ie/,Riversdale Community College,Blanchardstown Road North,Dublin 15,,Dublin,D15P380,18201488,rcc@ddletb.ie,Tony Barry,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,135,159,294
70100W,Coláiste Chilliain,,Bóthar Nangor,Cluain Dolcáin,Baile Atha Cliath 22,,Dublin,D22EW08,14574888,eolas@colaistechilliain.ie,Feargal Ó Giolláin,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,188,204,392
70120F,St Finians Community College,http://stfinianscc.ie/,Swords,Co Dublin,,,Dublin,K67YN93,18402623,stfinians@ddletb.ie,Ms. Patricia Knightly,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,306,304,610
70121H,Fingal Community College,http://www.fingalcc.ie/,Seatown Road,Swords,Co Dublin,,Dublin,K67E330,18405829,smcgrath@fingalcc.ie,Mrs Sharon McGrath,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,361,385,746
70130I,Greenhills College,http://www.greenhillscollege.ie/,Limekiln Avenue,Greenhills,Dublin 12,,Dublin,D12DP8W,14507779,admin@greenhillscollege.ie,Ann Bray,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,,170,170
70140L,Firhouse Community College,http://www.firhousecommunitycollege.ie/,Firhouse Road,Dublin 24,,,Dublin,D24HY03,14525807,firhousecc@ddletb.ie,Mark McDonald,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,329,459,788
70141N,Mount Seskin Community College,,Jobstown,Tallaght,Dublin 24,,Dublin,D24K033,14525788,lryan@ddletb.ie,Austin Flannery (Oct Rets 2017),Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,146,164,310
70150O,Cabra Community College,http://www.cabracc.ie/,Kilkieran Road,Cabra,Dublin 7,,Dublin,D07XC84,18389577,info@cabracc.cdetb.ie,Ms Pauline Queally,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,71,86,157
70160R,St. Kevins College,http://www.stkevinscollege.ie/,Clogher Road,Crumlin,Dublin 12,,Dublin,D12YP11,14536397,info@stkevins.cdetb.ie,Georgina Keena,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,45,134,179
70180A,Coláiste Eoin,http://www.colaisteeoin.ie/,Cappagh Road,Finglas West,Dublin 11,,Dublin,D11AY65,18341426,info@eoin.cdetb.ie,William Deary (Acting),Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,62,95,157
70200D,Ringsend College,,Cambridge Road,Ringsend,Dublin 4,,Dublin,D04N227,16684498,info@ringsend.cdetb.ie,Tommy Brown (Acting),Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,95,64,159
70240P,Kylemore College,http://www.kylemorecollege.ie/,Kylemore Road,Ballyfermot,Dublin 10,,Dublin,D10RY73,16265901,amanda.dunne@kylemore.cdetb.ie,Ms Deirdre Nolan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,118,215,333
70250S,Marino College,http://www.marinocollege.ie/,14-20 Marino Mart,Fairview,Dublin 3,,Dublin,D03DR72,18332100,mary.molloy@marino.cdetb.ie,Mr. Blake Hodkinson,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,114,132,246
70260V,St Mac Dara's Community College,http://www.stmacdaras.ie/,Wellington Lane,Templeogue,Dublin 6W,,Dublin,D6WEW83,14566216,stmacdaras@ddletb.ie,Mr Paul Kingston,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,379,477,856
70280E,Rathmines College,http://www.rathminescollege.ie/,Town Hall,Rathmines,Dublin 6,,Dublin,D06A215,14975334,info@rc.cdetb.ie,Ms Bernadette Moore,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,63,65,128
70300H,Pearse College - Colaiste an Phiarsaigh,http://www.pearsecollege.ie/,Clogher Road,Crumlin,Dublin 12,,Dublin,D12CR22,14536661,information@pearse.cdetb.ie,Jacqueline Nunan,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,71,105,176
70310K,Plunket College,http://www.plunketcollege.ie/,Swords Road,Whitehall,Dublin 9,,Dublin,D09C94K,18371689,info@plunket.cdetb.ie,Elaine O Sullivan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,34,57,91
70321P,Margaret Aylward Community College,http://www.macc.ie/,The Thatch Road,Whitehall,Dublin 9,,Dublin,D09RHN3,18375712,info@macc.cdetb.ie,Teresa Murphy,Y,Girls,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,169,,169
70330Q,Coláiste Dhúlaigh,http://colaistedhulaighpp.com/,Barryscourt Road,Coolock,Dublin 17,,Dublin,D17KH66,18481337,info@cdc.cdetb.ie,Mr Neil Dunphy,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,89,107,196
76062B,Castleknock Community College,http://www.castleknockcc.ie/,Carpenterstown Road,Castleknock,Dublin 15,,Dublin,D15A996,18221626,admin@castleknockcc.ie,John Cronin,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,580,581,"1,161"
76065H,Coláiste Cois Life,http://www.colaistecoislife.ie/,Gleann an Ghrífín,Leamhcán,Co Átha Cliath,,Dublin,K78Y330,16211825,eolas@colaistecoislife.ie,Tomás Ó Donnagáin,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,401,370,771
76077O,Larkin Community College,http://www.larkincommunitycollege.ie/,Champions Avenue,Dublin 1,,,Dublin,D01WD93,18741913,janet.rooney@lcc.cdetb.ie,Thomas Usher,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,188,212,400
76078Q,Skerries Community College,http://www.skerriescommunitycollege.ie/,Skerries,Co. Dublin,,,Dublin,K34HH29,18490011,info@skerriescc.ie,Caroline Clarke,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,408,520,928
76085N,Gaelcholáiste Reachrann,http://gcreachrann.com/,Bóthar Mhainistir na Gráinsí,Domhnach Míde,Baile Atha Cliath 13,,Dublin,D13NP52,18770935,oifig@gcreachrann.ie,Máire Ní Ghealbháin,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,212,169,381
76092K,PRESENTATION COMMUNITY COLLEGE,http://www.presentationcollege.ie/,Terenure Park,Terenure,Dublin 6 W,,Dublin,D6WCP28,14902404,info@pct.cdetb.ie,Mr Darrell Darcy,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,316,14,330
76097U,ADAMSTOWN COMMUNITY COLLEGE,http://www.adamstowncc.ie/,Station Rd,Adamstown,Co Dublin,,Dublin,K78WP89,16540348,info.adamstowncc@ddletb.ie,Des Newton,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,440,512,952
76098W,Colaiste Pobail Setanta,http://www.cpsetanta.ie/,Phibblestown Community College,Phibblestown,Dublin 15,,Dublin,D15EY17,16402403,admin@cpsetanta.ie,Liam Walsh,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,555,534,"1,089"
76104O,Donabate Community College,http://www.donabatecc.ie/,"Olive Laffoy, Principal",Donabate Community College,Portrane Road,"Donabate, Co. Dublin",Dublin,K36F598,18436726,donabatecc@ddletb.ie,Anthony Creevey,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,362,424,786
76129H,Ardgillan Community College,http://www.ardgillancc.ie/,Castlelands,Balbriggan,,Co Dublin,Dublin,K32KK33,19680734,info@ardgillancc.ie,Michael O'Leary,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,294,565,859
76130P,Luttrellstown Community College,http://www.luttrellstowncc.ie/,Luttrellstown Community College,Mill Road,Blanchardstown,Dublin 15,Dublin,D15DY29,18235262,info.luttrellstowncc@ddletb.ie,Fionnuala Ní Chaisil,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,373,441,814
76152C,Kishoge Community College,http://www.kishogecc.ie/,Clonburris,Lucan,,,Dublin,K78DC89,,reception@kishogecc.ie,Niall Hare,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,241,261,502
