,Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils,Lat,Lag,Photo Reference 1,Photo Reference 2,Photo Reference 3,Photo Reference 4,Photo Reference 5,Photo Reference 6,Photo Reference 7,7,Photo Reference 9,Photo Reference 10,Photo Reference 11,Photo Reference 12,Photo Reference 13,Photo Reference 14,Photo Reference 15,Photo Reference 16,Photo Reference 17,Photo Reference 18,Photo Reference 19,Photo Reference 20
258,68082L,Coláiste Ghlór na Mara,http://www.colaisteghlornamara.ie/,Bóthar na hÁille,Baile Brigín,Co. Átha Cliath,,Dublin,K32WV18,16904481.0,runai@cgnm.ie,MS. MAEDHBH ABAYAWICKREMA,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,MULTI DENOMINATIONAL,Open,90,90,180,53.3526,-6.2819048,,,,,,,,,,,,,,,,,,,,
259,68083N,Le Cheile Secondary School,http://lecheilesecondaryschool.ie/,Hollystown Road,Tyrellstown,Dublin 15,,Dublin,D15NX98,,,MS. AINE MORAN,N,Mixed,,No subjects taught through Irish,N,N,CATHOLIC,Open,220,238,458,53.3225312,-6.331985299999999,CmRaAAAAeLyeLc2ShyKoVpH3a_sJ35dly1155cpk1SxQwzhotQWgQ6r2yx36TRdra6LU_4iTUENPcPy_dlE7Rjjd0JgCwtVJzmsDuYV5g0fg21WsYJPWYhQrXHaZ4M-wA8bKhufoEhACVTV_fwP2-9ltVhlEtdRBGhTaPusQ7whLxoQJwvEb2_U0ciEIWg,,,,,,,,,,,,,,,,,,,
260,68101M,Hansfield Education Together Secondary School,http://www.hansfieldsecondary.ie/,Hansfield,Barnwell Road,Handsfield,Dublin 15,Dublin,D15H1FC,,info@hetss.ie,MS. BERNADETTE JUDGE,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,181,217,398,53.3519781,-6.269002899999999,,,,,,,,,,,,,,,,,,,,
261,68161H,Gaelcholáiste an Phiarsaigh,http://www.gaelcholaiste.com/,Bóthar na Gráinsí,Ráth Fearnáin,Baile Átha Cliath 14,,Dublin,D14PP82,,joe@gaelcholaiste.com,MR. JOE MAC SUIBHNE,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,MULTI DENOMINATIONAL,Open,73,78,151,53.300203,-6.2962269,,,,,,,,,,,,,,,,,,,,
262,68181N,New Cross College,,Cappagh,Finglas,Dublin 11,,Dublin,D11NC56,,admin@newcross.ie,MR. DEREK LYNCH,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,86,124,210,53.38673739999999,-6.2307225,CmRaAAAAsYFFvT-ShMU9O-hpVsxm_iCv3Dbzc1EiFac3NLu6cCk52BSQ3EoE8xRPReT9W2GS_PG_unY6Z2wezfdljRhhloC39OhuRiVzF243yCNI37N9yxt2Jm-mwaUVxEKV8KTCEhCq5tBsvq7neuKYKdB8vpBgGhTn-O4Z84Rqp13BD3AOdf-SQlO8vA,CmRaAAAAooyjRMvD8YstKid5Jy1DJQ-Co-ygZKZFmQsn--b2MhqkZQnmSWY-53I2xf3GL8YZzW9kuS0Zojgy-rg8SFE7eEHU2UQtlfwj7cOqJ_2YYqGxfI9Tr1URc254xb8e5T7aEhDaE_psfuRas_3OMf57_Op4GhRHr_zq4EH6af12I5Ng6G_0eOWbUQ,CmRaAAAAz2F-Z6C7Y_Xh3_VsSWiUZBovQBTikWVjyxiMuLUhn6J9VzErZ9DJSrqJua6qQKyVM0neqYVkBAbb1hrH7Jl8p6pWWtVjieoAV-TlumiB2JlDkTKHa0CQxYk9CsVxthkmEhBne52N-NVPMT8Rk3eqRnEKGhQrjS5SeEUd0nhUT99_qJH_NhivdA,,,,,,,,,,,,,,,,,
263,68241F,Stepaside Educate Together Secondary School,www.stepasideetss.ie,Belarmine,Stepaside,,Dublin 18,Dublin,D18DC56,,admin@stepasideetss.ie,MISS BARBARA MULHALL,N,Mixed,,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,38,50,88,53.3862497,-6.1996638,CmRaAAAArlCKOLP-Fj7Hh--8HQvLODwR1sB95IDExkLGbjew-MBC_ukMACo6jg5bqKstJ9gbyhe64tKDTg7Or2sgsE6r0HP8Y9-ZUmxg0UKJmavocTP46GF0bjDpSpU0DvTzA01UEhCsf42fOfIqklBfbS-eYbDrGhTzwMzNl90njvR8LQP-fb6nyLj8KQ,CmRaAAAAwviYHoxmKh2u-hdqJ8c12_oW9nKJBOAN5VcqD2sVDfbHg4JoCupve96q2MbwpzMsCGBZ_WZXRXAFl7oNzG5BdrLUPLudyuXCAOOCMt9z-I6F1Avg7kFRdWVuboI13soDEhDeStp9NY9A0CkS132-n0w3GhRM42bNahxvsM6NYs285arnqr-VzA,CmRaAAAAdtbb9iZmC_igkh2JBkB8CE3iQTNVIeoT2T1soffv71GNvEmumKKtbP7mzCtYTuFl8q7Pt0ha-FeiFQjQbjqTI9YIssBq6_X7gpQZy_IXY6rhwxSDbRp7Zp99GAKvaGKJEhDpO8mpcsYPBERoypt4pbBWGhRN_b7zDqZ-nqFYl2H-aeWWzbCg8w,CmRaAAAAOVqoqW5h0B6C1qVUM7_rL2QuVu3E4l2anV1juMAcD8LCCCdhG-CyM4aeqmVC-MfbXE0v6llTVELFmM-t2wcL4CwCQitPcw0lVU5D2-dp5vSLPf2iu7C68hbzoVWi4AsNEhAJblSJHmGYTGrOZPnOlHlJGhSABpGSrSBfhlI0oI7I4L9N29npQQ,CmRZAAAA2elIJ9VgLfodf8Dt87W6NDWTRf-9jEbmJSMbfB5VlZgG1FUgjxuM-GhBLmLt3WZ3ARgWq3rixGW6lHA-FWFArnjb3iFxG2XsL7oOih9heSMsTWVTb-QlBcAX1YjnOg_pEhDux5_3wJdmtzpK-Gfda8iOGhQy1lOctsfbxFzcfSrP4lPWR5QemQ,,,,,,,,,,,,,,,
264,68262N,Bremore Educate Together Secondary School,www.bremoreetss.com,Naul Road,Balbriggan,Co Dublin,,Dublin,K32F680,18415897.0,,MS. KATHLEEN JONES,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,46,100,146,53.33676740000001,-6.3217146,,,,,,,,,,,,,,,,,,,,
265,68306H,Edmund Rice College,,Old School of Horology,Mill Road,Blanchardstown,Dublin 15,Dublin,D15NX98,870922685.0,,MR. BRENDAN HARRINGTON,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,6,14,20,53.3214026,-6.2700076,,,,,,,,,,,,,,,,,,,,
266,70010V,Balbriggan Community College,http://www.balbriggancomunitycollege.com/,Pine Ridge,Chapel St.,Balbriggan,Co Dublin,Dublin,K32HE19,18412388.0,cshirran@ddletb.ie,Emmett Sheridan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,133,331,464,53.3007165,-6.235068399999999,,,,,,,,,,,,,,,,,,,,
267,70020B,Grange Community College,http://www.grangecc.ie/,Grange Road,Donaghmede,Dublin 13,,Dublin,D13NX25,18471422.0,grangeccadmin@ddletb.ie,Adrian P Flynn,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,63,138,201,53.3149227,-6.2279599,CmRaAAAARqkAHHWgecFAydTOvwL7lzvBf-OhmbkkyOQ7VlWxZue-bmIv4EGt3edAZxQMpNAYqEntzVFshsibZsBJUsqPhs-2uRcJHlEHy4o4zqIYlZFHqd-pIFD2gQhiTufFI_RaEhAaaANCXLjcCggxiU9ZCcUuGhRIA4vZZUoQU-eblRFaLyzGZz638w,,,,,,,,,,,,,,,,,,,
268,70021D,Coláiste de hÍde,http://www.colaistedehide.ie/,Br Thish Motháin Thuaidh,Br Chaisleáin Thigh Mótháin,Tamhlacht,Baile Atha Cliath 24,Dublin,D24NP82,14519184.0,deiric@colaistedehide.ie,Deiric Mac An Bhaird,Y,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,164,132,296,53.3078098,-6.3319811,,,,,,,,,,,,,,,,,,,,
269,70040H,Deansrath Community College,http://www.deansrathcommunitycollege.ie/,New Nangor Road,Clondalkin,Dublin 22,,Dublin,D22RY77,14574144.0,info@deansrathcc.ie,Helen Taylor,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,137,157,294,53.310342,-6.250213,CmRaAAAAUPmtMXgMtQpZmJ7dR_fAOosLd7PlKBh4Vp9npupMsdFl6xCP1Cx6Pq-m8ob-J_NtmscSY9enzzdLlcZIrAjtVNS5OgTBgsXdEpqYshu2KCIA3CotLgyDCVvcV5evhFh7EhBJ_8S0T0au7zdZf3JpnICAGhTSHoegyNZSgUFcXHn1faCZM8u3tg,CmRaAAAAPTPV4ijcfSlhTYeoHFXgLHCR5b79MMuDh75Tc-4aPQV6IEHCG5OGlnxBhrOVZM9X5XKYWSBTWMjwYPwK7C5rnU-e51cWCTTwNn6RI1LuyAzKuNv1RLEUfR0cTjR8gKS7EhAWDdJP2tvpHbgAka21zpleGhQi7kBWvzm1CEUZVKTMIvRnFqA45w,CmRaAAAAtNulVB10ezWyLZFWJejpW6dcuz6IbLNrLqEwtVWWa4csADrTp8VrJIQlAAvXPV7dnSh8IUAbYGYg2K2HHfdBdv4iIE9NZo9ajr3jDlglMAq6cFcmHMuqTc__7TuqsifZEhClimvnhhtfNyjf7mlT9GcSGhTjoRf1PZZGrrbiIOHnREiC5lTkOg,CmRaAAAABL3V8HOZObq0mVBP7kZecFvcw-6aQHZE8yRNfvmKpin6DKCylynmGhT0h616vcMU6zLW7jpFnjuLNk39m-rFLsESQ0rR_PGA6xfe6Gs1B4fFLDNHAkotJnb-H30-IQyLEhD8SV6sqH2WZhlBChmFPJWDGhTwgfFLrBmycHmmwzz2li5vKHYW1A,CmRaAAAALY520u0bXvgu_354mwA1sA8tv1DHQE2XH8QKZhNy7xVdKwP8MX57fdOGj2amdLUownDaS-46rrGnp-MONL3vsMqU83FtewlVzShOxMIKs-QyxPkkPcBPyfE5yvtSRX0aEhCGBBbJJtKPD2pLy6ukkMIjGhTrqowc1HHeF-Tj4H-LnaZVpPHmDQ,CmRaAAAAjRNjpGZNZMcdT8bBjRs_BTtW-3SvykzxWZjEcbRaAIb4zu1xKg5FmZSx13JrjXAlK1RAgHzXGR7CnawToDLq86Vn7piUiKN-XobpLrw5TA2982XrI_Wdq7IDbyGaodzdEhCgpv0zhnBUrDX_MLBPm5toGhSBukGZliHDRWx-_p3jj0KtH0PTYQ,CmRaAAAAD2VaTcn48uTLeLKaRn3tkKR2e4e_PhR_a_N8I3Y9ZVjuIDP_-Ya9VVIM8O5mu58ehtvbHWHm6aZ1GfNQyZdvNThbF2p8mu_xoZmfv3TMllU8MZxncrpxQKRX2i6o0h1cEhDAI1Ycrg58swtUN03PmAKDGhSLFlmP-pxRodhgyoB61bG9R8WWDg,,,,,,,,,,,,,
270,70041J,Collinstown Park Community College,http://www.collinstownpark.ie/,Neilstown Road,Rowlagh,Clondalkin,Dublin 22,Dublin,D22X458,14572300.0,collinstown@ddletb.ie,Ms Pauline Duffy,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,263,311,574,53.260958,-6.226769,CmRaAAAAEpCxsqwz0r20VQHSrBNr86OVpgD3H2kliYC6z5SRqR20QbJ3EzmUq9jvWgaQYOQTdqF3zC5CntTpgnDC5M52eIvzz9knJbFJpg2Ummsy7FVhk5op3_-ef-vmNMkLNj99EhCjx3pzIEUX3F_0eam-t3qKGhRERvdm079aeQ5he42AR2YEJEKrvA,CmRaAAAA5y_rZnAkdRThUjqtZjyQ4yg5YD9ybFxfnEIIU-TSZWLR2JgoS6OVW-843GRHJkBE_0DqiwDAzgWbZqMQYwvc7EeX_fsL-XbLdWVL_4-a1mqcwudSAvfwdCJwlpW1W7ndEhBKlqDqRVt-3zr4HW_Jm48vGhSLm15hhwPb97QK-SgVPyubEub7Kw,CmRaAAAAgNQZ7EqW95A3gChyUcXe8YOCMERHVZah6BsjFFAjvpD2FtsGskdDxxBDvJ5Y2-aWR3UOaI-gjL_YlYF-nn9DEPsoBWv6LqwysEgrlLfELwhr1Mf1BFelo-iTEg5DZpZ-EhC0u8fYCvsPeNxjZrVgUtWFGhRC9fNeEDP89kaSt6tokMHUoGTSfA,CmRaAAAAMn2Z2juGJtSfO3MLMuTR3x4d9hBP1-QjLfnFSAnYGeOAP5J3PZjmaNRlND6XZUu382toZv9RJhO-9Mryvm7jIgSl1NhuMXOUlwhDSiBxwKlMZEH3MEptllCL8qrucz1KEhA59Ym6mZk0aqzL6Fxc6Jr5GhRLDAiuEBki0iVc3I8QTkaVpyYJIg,CmRaAAAA6rLE8WZnbweO_s-WeUSDHuLyP6MFycQG3VuZSAJqli8ZlWZcsNsbW5_O0sOXz4rE7-du9TvLOY4o59EC5nXklfWm2ghLtLGzw3aBw3XKLgqQ-RdZzWSp0hn9SIZ6wnzOEhCUQ8CVQOln1rjVZ0to71m6GhSIRMLrLl3Rjk1LshmWVcQL3A3j1A,CmRaAAAAADlq0kBvdvl0EF33k5WQ5sZWEoZzzBDw2aJDFo6AuTYXVCHVVPXSotSziOAyfHdAmcIBoFBRAKYJt1kkKJccadyTim8CsBj13w2xZOxsplNPRkLnxK8o8E9j8dsxxvb5EhCZAponsY2kaCmuL25rr8lzGhT3wVvAfMEwsjInIyO19W0jOV-owA,,,,,,,,,,,,,,
271,70042L,St. Kevin's Community College,http://www.stkevinscc.ie/,Fonthill Road,Clondalkin,Dublin 22,,Dublin,D22K314,16266277.0,stkevinscc@ddletb.ie,Tony Barry,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,161,184,345,53.3309569,-6.3192176,,,,,,,,,,,,,,,,,,,,
272,70080T,Lucan Community College,http://www.lucancc.ie/,Esker Drive,Lucan,Co Dublin,,Dublin,K78TF67,16282077.0,admin@lucancc.ie,Diane Birnie,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,394,507,901,53.2784814,-6.2419563,,,,,,,,,,,,,,,,,,,,
273,70081V,Colaiste Ghleann na hAbhann,http://www.ddletb.ie/,Riversdale Community College,Blanchardstown Road North,Dublin 15,,Dublin,D15P380,18201488.0,rcc@ddletb.ie,Tony Barry,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,135,159,294,53.3097595,-6.2743579,CmRaAAAAxws4BNW6XXxxuEDM9gzxgQEZNA6XNwWBoPSAEAhSvUzKsay9S479EMZC1EYYaFSQSt-3fwB65_6ztN9VR0DmnX3Nxu7a8DhDBPmQEDUlGejU_8aSdR45Tpu0upfneU7VEhBs3sCuvsySRzmUmZ57yL0uGhTLBRPNHDAqJe4YwELIY9Y_no-_4g,,,,,,,,,,,,,,,,,,,
274,70100W,Coláiste Chilliain,,Bóthar Nangor,Cluain Dolcáin,Baile Atha Cliath 22,,Dublin,D22EW08,14574888.0,eolas@colaistechilliain.ie,Feargal Ó Giolláin,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,188,204,392,53.21759249999999,-6.1379265,CmRaAAAAvBj6321Zjz0vsyJNDQOIFkmaCUfANKSubo-eh6q_s6ozZJAEaWbvz6-ZOEf5f71ojTgwgUYpRHBPj28KwU-xuqTo32lU0gXsz3Auv1dd8xtpf25xXoO0qoEpS04HsPIhEhBZs5bsBjFK_jtr0XAA6e13GhRWyVnZKowSP1LIoQMSPi4y8rJzKw,CmRaAAAAhgXKpDNPlr1HfS32-veV70XlNooWprO4Q_c3FMu8p66g7RdISAlsuG4ojc97G64K7IWhwyx0dguvAHvXMhVXl-06lOjC1XXypzW_9Lz9xpjCvmwN65TfxD7z_uFUVCUCEhCb5jF8s2hEEK8FuaTVuCm7GhQX4ishKaAQUVoS3ChABqBdHV77LA,CmRaAAAAFtqPlLGT5XYncaNpFCEe6VLkm2h6VGy-XAj0-3BjUwEaBHignNS4zBemwNigjkxBD2bWX5DckWqtmTCOQ_dxYJDEquXHxN2lbFpPvn_30luPvZkfLI45b1nHsAbMzMp7EhB2l_z4twV-Gpbu3YZOTkTKGhTu2mJLWWViNAFiXZnRNkg2vTlOsA,,,,,,,,,,,,,,,,,
275,70120F,St Finians Community College,http://stfinianscc.ie/,Swords,Co Dublin,,,Dublin,K67YN93,18402623.0,stfinians@ddletb.ie,Ms. Patricia Knightly,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,306,304,610,53.6068399,-6.2068938,,,,,,,,,,,,,,,,,,,,
276,70121H,Fingal Community College,http://www.fingalcc.ie/,Seatown Road,Swords,Co Dublin,,Dublin,K67E330,18405829.0,smcgrath@fingalcc.ie,Mrs Sharon McGrath,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,361,385,746,53.4248465,-6.386349800000001,,,,,,,,,,,,,,,,,,,,
277,70130I,Greenhills College,http://www.greenhillscollege.ie/,Limekiln Avenue,Greenhills,Dublin 12,,Dublin,D12DP8W,14507779.0,admin@greenhillscollege.ie,Ann Bray,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,,170,170,53.3908989,-6.445613799999999,CmRaAAAAE_wLpHIOhEIycGhZv2eO-jHAVYVRpOd81H_U7ksCxGMUVicB5mnZxzes8d4qsXcGUX4im3HedLR3Q8B8_kf8m9Mf1c5Zze6I5Jc3S5ehU3c9o4pM9cIJg8FK1DeR6NhwEhA8svrRjH_lvCc-IOj4sBb_GhT_8occDuXKaxQeWEvuxBKEvartWQ,CmRaAAAAytA803o1w9bLtz2Raj3F6fLZwXZJFinKjkJdmaOJiQceyjhIhUpcPSj-KYnEEvPTuWfyN1DsNQC8t2egjH3gA_oiPL74-DgdaKi9FVTLlkb3k26uZ-iar5lwQ7zcSS9PEhC1oJWu_pquY12e6ZekrlwRGhTzTe96limVCECr7r7hHJ-IVLDWRQ,CmRaAAAARq2sZuTxcSgql2Jm9Tmmh7f2ckWw-KCbE457VKhOFk9ryDi3Y48NyvEz3MJ-h2L5GGj4LFwk_IJyiNRQwWzU4ATSwS6QbOo3g4R7ACuq_bOSQJELeMdc-cWCAE5ligsIEhCh3Nw2rGP29_-oNSfEaKiEGhSeAw79bt9GuuzMlgKFd34bqiRx_A,CmRaAAAAwCUBU27DlxkV4S1GD2WCWP_OBaHvBW5fcwleUbXqvwv_9zmMbfih3aCK7qLSdSJn3nic28PLMMPZHe5j_y_FiCGDXkdANFVu56KBizCFxvqeGpS58Kvgc06X2RTu6eKmEhCCVIBFeeP0-GjOjlehKVjeGhRbKtuACknw3AXecAzr_j-d50NK-A,CmRaAAAAwM4W8pHm-rT6vbCKVJJgjV-Qn_cf_5QSZjMX6-wVic5835DFe-8Xu9UdomAM1YqNjAtoBPk2WTe2mu6CKNdFVaPi9sf-BWcs0RPNx5JmSyRhXf3ZxEY800IH2-nefv4zEhAe1E4BGqS_RLFlRSS1U-aHGhRqVr6wj49GrPHCiM8ruc0gWLrO7w,CmRaAAAAbK4Qzzunzc__Or2lufFtkVOnEjO5zp7_YMNyCOpVQyxZZYg1lKu6wg2dAGiYh5bH0zd2UjJOtzo3mTuMeAZMjZqPzoqtiDhYXil_8olLsQLgPWGOPeDPodyQELK-Na5lEhDKv6RsvgidokVS7KSmKYePGhQV8BVowA-I6x_pSmCn6n16tIBbAQ,,,,,,,,,,,,,,
278,70140L,Firhouse Community College,http://www.firhousecommunitycollege.ie/,Firhouse Road,Dublin 24,,,Dublin,D24HY03,14525807.0,firhousecc@ddletb.ie,Mark McDonald,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,329,459,788,53.2924505,-6.2801946,,,,,,,,,,,,,,,,,,,,
279,70141N,Mount Seskin Community College,,Jobstown,Tallaght,Dublin 24,,Dublin,D24K033,14525788.0,lryan@ddletb.ie,Austin Flannery (Oct Rets 2017),Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,146,164,310,53.3920357,-6.3231647,,,,,,,,,,,,,,,,,,,,
280,70150O,Cabra Community College,http://www.cabracc.ie/,Kilkieran Road,Cabra,Dublin 7,,Dublin,D07XC84,18389577.0,info@cabracc.cdetb.ie,Ms Pauline Queally,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,71,86,157,53.25978869999999,-6.2166232,CmRaAAAA6PMgML_uVSi6Nt8H5MHNg6ovmBizzcFE9BLgYkr-dgtvcYe4-sVJLtB2OG50hkGLegMcL2vraoHYpvudKZq2QRY6WjKgOeExCr3ybRsuY9j_nFW6-v2LoWoRP5iDrsI_EhCDzqFfQxjjAdkGFhEihKuwGhRgtIxCZbffcNI4RrKYzE9a9X7s-Q,CmRaAAAA6M7V0ra_LhRn1034PAUpdeaFiHerCpB_m12Rx4zhXD3OHfdlg7Ler-RZcfClOYBNFbsk9Dkp7xUIyodiz9EY5qY7gEciYOF4AOfNhDKbqaXX-zPhDWwLwAtis-vu_g0-EhDikvEgVntvFHG7YlZxezeUGhQXkYMnSH1-G8p4MFN5pvN_pX9mDA,CmRaAAAAUaLsWPFEEAoUy26gtiaMgvWwsyigwi9TbRcG78FnX-7zXpP9zn1kkVD0Oxb0hDwNiGc51mn48xXKlaDx7SdSkEXftlT8ptPxmZ7XyjfOcICpwSEEMc_II1Vy87FqEDEHEhDP6NJnk8ER1e1iIU87V6yjGhRaGKXsX1Wu3nfIvv_cIpMygTiNDw,,,,,,,,,,,,,,,,,
281,70160R,St. Kevins College,http://www.stkevinscollege.ie/,Clogher Road,Crumlin,Dublin 12,,Dublin,D12YP11,14536397.0,info@stkevins.cdetb.ie,Georgina Keena,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,45,134,179,53.604139,-6.202806,CmRaAAAA6bCQGnqbBD1JRi2b-VS-OIigSEMANg7vJA9MEzgF0fhat21lAChSEbjDxXer7WAjmSymdWpL52eZc3aEtsEUh_Nf_LD5qcxhej-F5qo6kcbesiHVyHHfnqBzqgmAmdIHEhDpdtBPrysargaKFKZhzHSIGhRdSttVQNMwutlaG4BnhGVXJ8MT0g,CmRaAAAAb4iFt_sEwvcYjSYUMZ9JPPEH464G2fxxeZASHxGreUeGMFk2QWFQ05RMnVGBueqDJmw085PE6dnmFAEMHKTAwst1pO2vcrocWjQjAN8Hum9cYEhAWJtP4CicU9u-vNxMEhCfivle_uBh52GzcbJJ_Ml-GhQY_11vQIlewj8dPj7c9Qgg3-tBZw,CmRaAAAAsaw-abShDeUp-T5jFDJ-Mqz_hMQqpGo8g9WR6a5HIBA9W2jdILAzI2nL5VJGzXGrX452bSyySseJLEAKa_I9EAoyD-0NQDmF1j4lhKVAiA20DjFeq-SmI6F7PJCPrkOTEhBQmxzgdV9s6Dcy5eneQ8XwGhSpEWYparccJ_WJOyNAeGSwFxfTxQ,CmRaAAAAq2NwHeJy2mxhU-7PgUldwd6gPuSJws0I1XpsiAHWgxvxl78BM4ZK2Iow11IYCadcjXTrfQ5NoC9vmdIUN9IGYzmfTokFdEeA83SR-WgQ6LgVrJHSMNOogk-82HH6RamwEhChxIELHBXuafaQChYjKcxpGhRXVdS67mAxM-dCQV3VhxZlHRu98A,CmRaAAAA0Iw5P8dR5Jk-e3FRHL4HESp8ZGGH8-5vWvATO7lRFZ4q2vbS_TIbzw7SLVE26zs7V7F-Ya61-lKFbXBHfambpeUfmvfqu_Si6nEwGiv5oauVo1M81zwTrbtRXbU_SszlEhA2TojCiNkjSZfwwVOJjThEGhSMvHUaYTFoyXucNIFPw_7rwaV_qA,,,,,,,,,,,,,,,
282,70180A,Coláiste Eoin,http://www.colaisteeoin.ie/,Cappagh Road,Finglas West,Dublin 11,,Dublin,D11AY65,18341426.0,info@eoin.cdetb.ie,William Deary (Acting),Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,62,95,157,54.6666561,-5.9679045,CmRaAAAAGuY3BNcXmtBDAXXbM-RhNGHxvWRh8Vep2K9-jV6pYRKmth_6m7V1ZNF8wbj_gR22foBj5sBgiAzUHvPcP2sZsBTFt2MXin_3SMMtbxrgfDcoVYQaBS7sUG8pRorPQY9gEhCDoVHlaeXP3-nmSITAUuTJGhQdkPz-0UR8JQmM49WoO_wI9dynLg,,,,,,,,,,,,,,,,,,,
283,70200D,Ringsend College,,Cambridge Road,Ringsend,Dublin 4,,Dublin,D04N227,16684498.0,info@ringsend.cdetb.ie,Tommy Brown (Acting),Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,95,64,159,53.3869859,-6.3754851,,,,,,,,,,,,,,,,,,,,
284,70240P,Kylemore College,http://www.kylemorecollege.ie/,Kylemore Road,Ballyfermot,Dublin 10,,Dublin,D10RY73,16265901.0,amanda.dunne@kylemore.cdetb.ie,Ms Deirdre Nolan,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,118,215,333,53.6112716,-6.188276500000001,,,,,,,,,,,,,,,,,,,,
285,70250S,Marino College,http://www.marinocollege.ie/,14-20 Marino Mart,Fairview,Dublin 3,,Dublin,D03DR72,18332100.0,mary.molloy@marino.cdetb.ie,Mr. Blake Hodkinson,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,114,132,246,53.4003083,-6.157657899999999,CmRaAAAAjT16mwg1PnBOwYg4lbC3GQur-Qn5i-EUAvnpLO8prx3t5uw_Bz-Qh03POfqQGQeIuvYDYMRgAfCkwH-fST-ZaVHhqa4SnSQFV9eLBlXWobDaBdT1AOSOpkno-lkN3YrZEhDhzyU8ME_x15SW6BaLOCl4GhR9AkNbEYCgRToJa8f6NG2JNXyi9Q,CmRaAAAATSGBWVdRZ6VlkoXzkrVlZT0fNVSlzceAswxlRuGzoyRmCCmOLSN8m1-pQbO5C3HixOEGIiXnTwUJQP6A2bdjpZ1EVyFnzvf0w3IkeuEs6SM1oRekQIzlk8k8Jcqt3B-UEhBQgeFCD5u5Qh8OiJx5Fh8DGhREc5LkcsRiKqf6TrFvYZjNOh_MIQ,,,,,,,,,,,,,,,,,,
286,70260V,St Mac Dara's Community College,http://www.stmacdaras.ie/,Wellington Lane,Templeogue,Dublin 6W,,Dublin,D6WEW83,14566216.0,stmacdaras@ddletb.ie,Mr Paul Kingston,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,379,477,856,53.3012301,-6.348524599999999,CmRaAAAAH1QqwMqkRhqAaln7GveYXQOEI6TiH16Rscq9Z2vkGZnmpqSKSxe2wafFqR7wnMTAV-jo9IQVFlBNGEdinjCx6BBDIQbN2LDfnHF9li1LqQyZ86jMi3FJq_aETyTRzoz7EhCZS1ka5lXWit4DGmilZ0lAGhQrqfN5QxDTPSntPU1K6SL81F9FQA,CmRaAAAA8JaJoETYHE5UNpclbjlbPHQRFyY1QKLqH-lNF21OUOx44y7soIPcd-_HNTAl-DMoIGkmmv9myfeGPO38Psyy8dYowKPRM-kkrXhZvq0fOkcAUyzS_Id_lqVTyCVPAkxGEhCi0Ghai9LKBtjIwWv4Bg9vGhSRmj78IMIUp8hYDSAvV6-3PhPk3Q,CmRaAAAArsvYflvVfv3mM0G4FwyxuW04xs-1w-3lamYCXkNYAb15GoOu8jdPUHqhyqBkp_K6PzMzGNe1GfeyWTcHOO119XhFiUKGqJrEnD8vdGODMkZijfDpxqpAQ-5irjCQhBYAEhA8KSWb6LgWmoc1oQACmBm7GhT93r5xrIgHIvswZgNaljHgRgiRvQ,,,,,,,,,,,,,,,,,
