Rank,Previous rank,Name,official_school_name,place_id,Type,% at university,% at third-level,Boys,Girls,Students/staff ratio,Telephone,photo_ref1
29,55,"Holy Child School, Killiney, Co Dublin",Holy Child Secondary School,ChIJUYt6KuoHZ0gR_gwMH5n3wZs,G,72.3,100,0,368,19.9,01-2823120,CmRaAAAAumB1jm21TJEDHvvo3YRZqj-LMCgbRKp4xdOeTU6rw2yYkuO8mehiMYImpDzo01WVwNFPX6GK0vxpbBNOKx-OGMQAKWCiIdUDvNyBnqvFJAYBU2YYm7bFSUarxNMAOdEtEhCQN81RPkwWJEdGoZ1h4mVVGhQfdTr9NTCY2oGlZqTn7pKW3W8Lmw
32,54,"Holy Faith Secondary School, Clontarf, Dublin 3",Holy Faith Secondary School,ChIJVW-MeacPZ0gRiG5B8ZEvSbI,G,71.5,97.5,0,631,15.9,01-8331507,
356,293,"Holy Family Secondary School, Newbridge, Co Kildare",Holy Family Secondary School for Girls,ChIJO3wtrwmAZ0gR424aymKzgKU,G,36.9,65.3,0,709,16,045-431957,
184,136,"Holy Rosary College, Mountbellew, Co Galway",Holy Rosary College,ChIJqZlZh3ANXEgRU2ZCp0BGcHs,M,49.9,81,311,300,16.1,090-9679222,
241,244,"The Intermediate School, Killorglin, Co Kerry",Intermediate School Killorglin Hockey Pitch,ChIJL83QvutFRUgRVDrKNom85Gk,M,44.7,63.4,267,266,12.1,066-9761246,
317,216,"Jesus & Mary Secondary School, Enniscrone, Co Sligo",Jesus & Mary Secondary School,ChIJOw3bdnwxWUgRDL0YEsDnph0,M,39.4,80.3,144,130,12.3,096-36496,
206,160,"Jesus & Mary Secondary School, Crossmolina, Co Mayo","Jesus & Mary Secondary School, Gortnor Abbey",ChIJu-4lRxQ_WUgRRLowX4EVpCg,M,47.5,84.7,276,260,16.4,096-31597,
310,336,"John Scottus Secondary School, Donnybrook, Dublin 4",John Scottus Secondary School,ChIJWUUl4bkOZ0gRwxL14lWAlhg,M,39.6,80.8,60,65,11.4,01-6680828,CmRaAAAAyh_CIgMZTnhvdLTSSfYWOWpPv3ccHiml8gK7ci04eE8OER9xUSVK4jPfWQjhxmttD__qScBHhoXP7W6kOr9dCuXEwCLzTRiOHEJAB7y4ya2PSYFOqu--PPDzs08D6cXnEhAY2TBsu_ihUhzkqKuNRqdZGhTiWrrknpdTdVsApqK4NyrhvDMzug
125,126,"John The Baptist Community School, Hospital, Co Limerick",John the Baptist Community School,ChIJfbGyCulVW0gRDZzUb0UNN4A,M,55.7,88.4,513,494,14.9,061-383283,
98,92,"Kilkenny College, Castlecomer Rd, Kilkenny (B)",Kilkenny College,ChIJmXYslBM6XUgRn2aQABJ-Mus,M,60.2,95.1,436,410,15.7,056-7761544,
380,,"Killina Presentation Secondary School, Tullamore, Co Offaly",Killina Presentation Secondary School,ChIJ_Z3QiKavXUgRL3i9R6l7FJg,M,35,75,237,210,12.9,057-9355706,CmRaAAAAWBKRzVab2jQUstKzuj2PiL1zdTeLU12-UNIfZgd3Lux5XSkRefaEqdvkKR3-ZsRqzIDYIrxl7oXHJLywFXpzBhiulpdPt77iipG2pcOMK2TX73uc95vrtgfB5orOOrohEhBUdZ7wWx_fa87G2yXYgqClGhS1bJYxhx_9pF94-m0Ap6WPyFFlOA
230,308,"Kilrush Community School, Kilrush, Co Clare",Kilrush Community School,ChIJMc2ktXPeWkgRFZXRr1WlZgI,M,45.5,85.4,242,202,13.1,065-9051359,
223,158,"Kinsale Community School, Kinsale, Co Cork",Kinsale Community School,ChIJUwLageZhREgR4rbGmZiOVU4,M,46.1,85.9,460,448,14.1,021-4773174,CmRaAAAA0fhtZ7DyPvk9W0LshA8SOmPqW1q0plS7DmQcEgatKVidu0DlYEy7BXnxqKoE4smZ1NwuUnufceCaUItqDIF1g1MmP9H6fb3Io2m9o2xhldqx-lZARcOVhLiK9PtLNMSoEhCoioEtf-Kfz9OC13N8eMJvGhTunjA0Nj429ZRAGuupL9seB82Fag
358,,"Largy College, Clones, Co Monaghan",Largy College,ChIJK2g1eFYYXkgR7u3iSAxGj3E,M,36.6,79.1,190,206,,047-51132,
1,1,"Laurel Hill Colaiste FCJ, Sth Circular Rd, Limerick",Laurel Hill Colaiste FCJ,ChIJNa0KLIRcW0gRyre_Pay-Ypg,G,93.7,99.5,,422,16.6,061-313636,
62,67,"Laurel Hill Secondary School FCJ, Sth Circular Rd, Limerick",Laurel Hill Secondary School,ChIJwUQIzYdcW0gRqdOyM7IGRHg,G,64.5,89,0,625,16.4,061-319383,
110,102,"Ballinamore Community School, Ballinamore, Co Leitrim",Leitrim County Library,ChIJgz9EsF9kXkgRSua8vkFaGX4,M,58,84.5,158,161,13.5,071-9644049,
50,59,"Loreto Abbey Secondary School, Dalkey, Co Dublin",Loreto Abbey Dalkey,ChIJiSqqZ00GZ0gRgMEAiPijJUU,G,66.9,97,0,627,19.4,01-2718900,CmRaAAAAsX3wMO9ECLDjVEwW75A7T6_wTCuheCRnIAV7xnw5OiCVSgF0CAOF2I4wpa36jHMQ5C0kS7dtqcvRbOHP2DwPt4XxnhwEGiYCCwSgIvAGQ4viDS71-yUwW8DuLzBJlq0nEhCRBGb13hWJ8vcqzq0TWsOrGhQ8Nf4HrjBfSIicB-beCGOPcp2qcA
31,27,"Loreto College, Foxrock, Dublin 18",Loreto College,ChIJv1UijVgIZ0gRf9z4Ak38d_o,G,71.5,99.4,0,561,17.7,01-2895637,CmRaAAAApBE4mNGj8AgSzoVIfTW4qnA2HMAXzAT8NXkboQAdEKRgn9QirretsU9nVDf2A7FI4bctyUI97XVQV1FiGM1uBTEQKk9Jm-876ZkSMPEwf9SoOuSa89SUEWvEB9lLEspdEhCtFF09jyBO0-zP7ZCdz84nGhQf540B01C4A1sIH7GJoEFqSU4Q4g
91,111,"Loreto College, Cavan",Loreto College,ChIJyyK4v-kNXkgRGlmVpNeSZLo,G,60.9,83.2,0,700,16.2,049-4332881,CmRaAAAApBE4mNGj8AgSzoVIfTW4qnA2HMAXzAT8NXkboQAdEKRgn9QirretsU9nVDf2A7FI4bctyUI97XVQV1FiGM1uBTEQKk9Jm-876ZkSMPEwf9SoOuSa89SUEWvEB9lLEspdEhCtFF09jyBO0-zP7ZCdz84nGhQf540B01C4A1sIH7GJoEFqSU4Q4g
251,301,"Loreto College, Mullingar, Co Westmeath",Loreto College,ChIJJzq70h7AXUgR5vFDsoc_xls,G,43.8,77.4,0,815,17.4,044-42055,CmRaAAAApBE4mNGj8AgSzoVIfTW4qnA2HMAXzAT8NXkboQAdEKRgn9QirretsU9nVDf2A7FI4bctyUI97XVQV1FiGM1uBTEQKk9Jm-876ZkSMPEwf9SoOuSa89SUEWvEB9lLEspdEhCtFF09jyBO0-zP7ZCdz84nGhQf540B01C4A1sIH7GJoEFqSU4Q4g
256,277,"Loreto College, Swords, Co Dublin",Loreto College,ChIJb7c6cfwQZ0gRbD3Dg1CD4Kw,G,43.4,82.3,0,619,15.7,01-8407025,CmRaAAAApBE4mNGj8AgSzoVIfTW4qnA2HMAXzAT8NXkboQAdEKRgn9QirretsU9nVDf2A7FI4bctyUI97XVQV1FiGM1uBTEQKk9Jm-876ZkSMPEwf9SoOuSa89SUEWvEB9lLEspdEhCtFF09jyBO0-zP7ZCdz84nGhQf540B01C4A1sIH7GJoEFqSU4Q4g
10,12,"Loreto College, St Stephen’s Green, Dublin 2","Loreto College, St. Stephen’s Green",ChIJjXO-8JgOZ0gR1KHY3XocqDU,G,82.7,97.3,0,573,20.3,01-6618179,CmRaAAAAguBc106-lK1WlUjxBBj38lVk-z8bRzOtVriOKvfeVJccFyNWB50WIdwQX0dEEGTU7fYy0hCqu3qGU9S3aZ7iwxrQJQpzQHL50KX5NQfU43n9bAB15vUe_D6WwBvuDTOIEhB8D2iS9GNuZvkKsnaEPx6_GhRa5RzNSZ-nDmNWK5wWjEFL4ziIMA
353,364,"Loreto Community School, Milford, Co Donegal",Loreto Community School,ChIJReYuQGHyX0gREmB5CQmF1cc,M,37.1,86.9,403,380,14.9,074-9153399,CmRaAAAAN0M3GW9Caoh3rmb0t56pUqfUY27moYhGOTKARsL4O8Id5JaGZ8YF2qB9BRPSGMmdnBRc28p3JGw7XQjg9B5EsBtaJF3otBtO7gVtvusdDbe1Au_a39I4K6SGkqZPKAkAEhCiLWUjTQuZyG02HkvmoLhWGhTCqY8rLjQvLWD7vR2SaBz7rgTmQA
212,156,"Loreto Convent Secondary School, Letterkenny, Co Donegal",Loreto Convent Letterkenny,ChIJ817zSMyUX0gRn9F6dTv9ttM,G,47.2,83.9,0,951,15.5,074-9121850,
23,19,"Loreto High School, Rathfarnham, Dublin 14",Loreto High School Beaufort,ChIJb-JGxeoLZ0gR4ohS9ssu_Ic,G,76,100,0,637,19.2,01-4933251,
57,39,"Loreto Secondary School, Spawell Rd, Co Wexford",Loreto Secondary School,ChIJywLK-1kbaEgRmcVzcARY5dc,G,65.5,90.7,0,718,16.2,053-42783,CmRaAAAA5XLWa2onPnkAcWcQ249taVFjoclPJ5NH5IrcIWQcoFGJsVQp0Pepy3Unm89uyq9fgLOLJUGwI9CGhGTVoFwBxvH4rkXAH6WkfCpw1B6VXmyDACGt2_mRsi4e9QISZZ08EhDYd_AvxBHmF_SwEmCXK2yLGhTtmwEZU9zcput8PSvskOL3vbln5A
60,69,"Loreto Secondary School, Granges Rd, Kilkenny",Loreto Secondary School,ChIJ9wWO63A6XUgRljM8QXTe8aU,G,64.6,86.2,0,927,16.6,056-7765132,CmRaAAAA5XLWa2onPnkAcWcQ249taVFjoclPJ5NH5IrcIWQcoFGJsVQp0Pepy3Unm89uyq9fgLOLJUGwI9CGhGTVoFwBxvH4rkXAH6WkfCpw1B6VXmyDACGt2_mRsi4e9QISZZ08EhDYd_AvxBHmF_SwEmCXK2yLGhTtmwEZU9zcput8PSvskOL3vbln5A
74,73,"Loreto Secondary School, Fermoy, Co Cork",Loreto Secondary School,ChIJjXHcAj9fQ0gRxPqrfEZ-qag,G,62.9,86,0,622,14.9,025-32124,CmRaAAAA5XLWa2onPnkAcWcQ249taVFjoclPJ5NH5IrcIWQcoFGJsVQp0Pepy3Unm89uyq9fgLOLJUGwI9CGhGTVoFwBxvH4rkXAH6WkfCpw1B6VXmyDACGt2_mRsi4e9QISZZ08EhDYd_AvxBHmF_SwEmCXK2yLGhTtmwEZU9zcput8PSvskOL3vbln5A
101,95,"Loreto Secondary School, Clonmel, Co Tipperary",Loreto Secondary School,ChIJ71duch4uQ0gRjv6EI5Wf07Q,G,59.7,87.7,0,505,15.8,052-6121402,CmRaAAAA5XLWa2onPnkAcWcQ249taVFjoclPJ5NH5IrcIWQcoFGJsVQp0Pepy3Unm89uyq9fgLOLJUGwI9CGhGTVoFwBxvH4rkXAH6WkfCpw1B6VXmyDACGt2_mRsi4e9QISZZ08EhDYd_AvxBHmF_SwEmCXK2yLGhTtmwEZU9zcput8PSvskOL3vbln5A
104,134,"Loreto Secondary School, St Michael’s, Navan, Co Meath",Loreto Secondary School,ChIJ696ZlbNEZ0gRq38VSLkgvSY,G,59.4,86.9,0,796,16.4,046-9023830,CmRaAAAA5XLWa2onPnkAcWcQ249taVFjoclPJ5NH5IrcIWQcoFGJsVQp0Pepy3Unm89uyq9fgLOLJUGwI9CGhGTVoFwBxvH4rkXAH6WkfCpw1B6VXmyDACGt2_mRsi4e9QISZZ08EhDYd_AvxBHmF_SwEmCXK2yLGhTtmwEZU9zcput8PSvskOL3vbln5A
191,198,"Loreto Secondary School, Bray, Co Wicklow",Loreto Secondary School,ChIJIfTF3WKoZ0gRwswpYthsGo0,G,49.3,81.7,0,831,16.4,01-2867481,CmRaAAAA5XLWa2onPnkAcWcQ249taVFjoclPJ5NH5IrcIWQcoFGJsVQp0Pepy3Unm89uyq9fgLOLJUGwI9CGhGTVoFwBxvH4rkXAH6WkfCpw1B6VXmyDACGt2_mRsi4e9QISZZ08EhDYd_AvxBHmF_SwEmCXK2yLGhTtmwEZU9zcput8PSvskOL3vbln5A
199,174,"Loreto Secondary School, Balbriggan, Co Dublin",Loreto Secondary School Balbriggan,ChIJ0-ZbYSgaZ0gRapzDD-dG4-E,G,48.6,80.5,0,1263,17.2,01-8411594,
172,184,"Lucan Community College, Esker, Lucan, Co Dublin",Lucan Community College,ChIJ-2l4F1NyZ0gRTC4slxmLohE,M,51,81.1,478,397,,01-6282077,CmRaAAAAWLc6VOdnEqOctU2oApv4RMlM1ckdtr0lfhAu25jJod1Fwwr_Kue4BkJVhVrC8FkzE7A8sbWPE9nTK4TslimVJtwKs0e_ieWTNAJilOYJFI_Ts6rh0hDOslP5cPmrHIGzEhDqvaav01JaA-HlD82dqSqmGhS0fsMnY5CyVU46KAlyRalQglflvw
306,310,"Magh Ene College, Bundoran, Co Donegal",Magh Ene College,ChIJN2GFDRP9XkgRlmvOwFpqA-E,M,39.8,82.3,182,143,,071-9841364,CmRaAAAAKRBjB1oZ-Gx0kiDZo2EKKb76xl897bEDXus5_an9LU-8KVuRPYi7U6R-dfXZb_gw5yIja6QtLpmRoVVJBqUA37-v9S3-fI_Mbf3HxAIbvJXM_RZjdZ1vKNvWPoAlqXKyEhBGVWbuqu3jJ44EqnHbJo54GhTJPunelP2K1CZmd_5z2wc4KIc2mg
162,173,"Malahide Community School, Malahide, Co Dublin",Malahide Community School,ChIJ9044O44aZ0gR2UOBS1r-yJw,M,51.9,92.8,609,613,14.8,01-8463244,CmRaAAAAaiVDXYkTlhZ2AlgEVhRNhtrPonOS08uVrRFpTrsnApl4548u3ewXW6uI9DrSpY91trqmMv9pxG0Yt9T925rYmzrQ1lpOUt1wiHKcuQAAzPjJ0TR5-pReUCEpv2k0AVuzEhD22u1yKSJySYiUVWOSaFhGGhRPYEkD21ZR6BeLAIEePHgEo37rnA
239,204,"Manor House, Raheny, Dublin 5",Manor House School,ChIJOcXrR4wPZ0gRtJmGoEsaB5E,G,44.9,74.1,0,773,15.8,01-8316782,
357,351,"Maria Immaculata Community College, Dunmanway, Co Cork",Maria Immaculata Community College,ChIJM1dgy60BRUgRAivll7NlPDY,M,36.7,73.5,249,241,,023-8856030,
156,167,"Marist College, Athlone, Co Westmeath",Marist College,ChIJqf3lHAxJXEgRHLSe3omzeqA,B,52.4,94.4,537,0,15.6,090-6474491,
248,182,"Mary Immaculate Secondary School, Lisdoonvarna, Co Clare",Mary Immaculate Secondary School,ChIJUZ6bTgKoW0gRCVNhUPtb0fs,M,44,86,114,120,12.7,065-7074266,CmRaAAAAce9Xw49bN39D70QhRuN785-DoM12kNluF2q9r21rcNCic3DKnoB5BL25iLiMwDcnlT1CIKhEThyhGt1_0fZUFpw4sCxXxG0s_rKFf4ohQ6sL9dDxLT6BMbVCF69dD46XEhA-qy36B46O6RhpClQdfBdmGhSQKj0cZxl_hz8UzwQPFcL0l3yRUw
146,151,"Maryfield College, Drumcondra, Dublin 9",Maryfield College,ChIJHes9v0YOZ0gRVi-0ty5whoQ,G,53.3,93.5,0,672,16.7,01-8373574,CmRaAAAAO-MeUkGaOxovbZobFIuPPOU3QVzIYDIhIawZSMpblS8NF_l8QrBD6HsPP6icjvHZ2KCPoh8e2Z2998XzON2MjA4vZs4QAoSLq6RGMJrfGZGR5uW9Joiq20VdYaUGO-7nEhBLYveqCDAyUpxhCM3z-CfTGhSWjq0xn9xFq4nouwmUBELBrbkMAw
105,129,"Mean Scoil Mhuire, Longford",Mean Scoil Mhuire,ChIJ8UD2_J7TXUgRtIMu5rB25ng,G,59.3,91,0,546,14.5,043-3346608,CmRaAAAArwDmMU5Jp4DXqpekSTHwO83rGgub2EvCIOGsyThDeWmOFipX8VushRAF7SpCa9pN9RSSzTX9I6o_ElZN1oeuHPDpNtyOVeQAsbPD3tQ7N1aYof77GKYcUjJQJq4cOqPiEhA1a_X-kPXIXO-aY0XcfsDPGhTwx-opaWqXEakAaNSy70HBhwG4KA
177,262,"Meanscoil na mBraithre Criostai, James St, Kilkenny",Mean Scoil na mBraithre Criostai,ChIJyXlvGXY6XUgRJlLRVahzwEE,B,50.3,84.5,674,0,15.1,056-21402,
315,202,"Mean Scoil Nua an Leith Triuigh, Castlegregory, Co Kerry",Mean Scoil Nua an Leith Triuigh,ChIJd26JFRZTRUgRfa7jGuNMIxs,M,39.4,84.8,75,62,10.4,066-7139746,
148,117,"Meanscoil Gharman, Enniscorthy, Co Wexford",Meanscoil Gharman,ChIJFeld6QMBaEgRNtHv5QvmPpQ,M,53.3,80.7,96,111,14.3,053-9235796,CmRaAAAATO548kQK9HoUi65WW1VNrXhT85LrsEaDeMyjj3SZg658KGzQyuHahM1UN1ntO7HAqlxkm1llF7riDJRW5Og4J0P8YIglHVllotx-kum6Bpr5xwFBpPjzQ6W6UYOFlqnEEhCQfw50dSk_-soVMcwQfGxCGhSbgHK1qGdJ2dBnmBc9ejWgymIy4A
201,217,"Meanscoil lognaid Ris, Naas, Co Kildare",Meánscoil Iognáid Rís,ChIJX8eWS714Z0gRmCl0PUrR60w,B,48.2,85.5,1001,0,15.9,045-866402,CmRaAAAA8TnQxHzyWnjtaYsBvz00BLxIcS2sTA38bQdL9lShAcgFUcdE-_Bwy_GhW1jSOZvF2mecZ0jH2MvyR4VYv8lOaIqqQgzv8svNdwLm1oh5Smt_evLz1u6-0sdOxs0-3ZpHEhCuDPuxZCn75Bpz0QPy-e6MGhQFHtPqtONoiW5eNCb4BjrWOX1ZHg
203,228,"Meanscoil San Nioclas, Rinn 0 gCuanach, Co Waterford (G)",Meánscoil san Nioclás,ChIJ7zuGPpEZQ0gRUO0udrIpBGc,M,48.2,70.4,60,86,,058-46464,CmRaAAAACf83z5-Pwx0VjRGUTz6JOaDpwrjmLag_8r1ynlzKJkOBG1DWZLmLpknUBr-5tPdDAv2kQxnQgDPGq6yuWUkdf0vJpP3gPjFpNSQ54Qb8d-HKc6uO2ZwPSmnkJeBVQ3fdEhApttjSLR7CUs8TYcbSZxQBGhQpMA3WEsr8DaONR80f2bdB6br1TQ
263,,"Mercy College, Woodford, Co Galway",Mercy College,ChIJ2SQAQ62HXEgRnCHbugPx6CA,M,42.8,78.7,65,73,8.4,090-9749076,CmRaAAAAD0tgwuG24INamG1SbHlNcrdQCQc9GQyCpyT15QnH4YvJZbC5v22exDr3P4kgAekG_PJhlWqLy_7G6vF998rtxcL1azrAh1vjp-BDS4jIArrdxw7pDD1LwGa5KJZ90ZzSEhATvenewfpccalTqFn5qUWrGhTfEXg5THRcxv7V051B0rxKovRRkg
301,335,"Mercy College, Sligo",Mercy College,ChIJ33V7X7XpXkgRYy9pL31stis,G,40.3,73.5,0,356,11.7,071-9143476,CmRaAAAAD0tgwuG24INamG1SbHlNcrdQCQc9GQyCpyT15QnH4YvJZbC5v22exDr3P4kgAekG_PJhlWqLy_7G6vF998rtxcL1azrAh1vjp-BDS4jIArrdxw7pDD1LwGa5KJZ90ZzSEhATvenewfpccalTqFn5qUWrGhTfEXg5THRcxv7V051B0rxKovRRkg
187,208,"Mercy Secondary School, Tralee, Co Kerry",Mercy Mounthawk Secondary School,ChIJ-QvDkaFKRUgRrHUmTPlPJqc,M,49.7,86,594,639,15.2,066-7102550,
236,361,"Mercy Secondary School, Inchicore, Dublin 8",Mercy Secondary School,ChIJzQePNF8MZ0gRyD1ql9OBQQc,G,45.1,54.9,0,170,10.4,01-4531262,
340,249,"Mercy Secondary School, Ballymahon, Co Longford",Mercy Secondary School,ChIJHb9CqHvLXUgR2pIq5cMRp9I,M,38.1,75.8,297,323,15.5,090-6432267,
123,82,"Midleton College, Midleton, Co Cork (B)",Midleton College,ChIJnXiGRy5jQ0gRKVIyBTydaGs,M,55.9,82.1,233,184,15.9,021-4631146,CmRaAAAAYVhyxqJ7XIoDxdld0WQr51JV-uiRAhhEPhXjbWodOuaNyw8RT00Jmh7r9PCzJX6imyyDdbXVDTFoJ4TCZz6W8NeUEQw31QX8bPmMvLD1pYCl-6v4zZ_PnZWJlcIH2G89EhBr77kmkcHWzbFROqE_svEHGhTMFc7EbzURTIVMM4D2FrHLuZDGfQ
287,265,"Millstreet Community School, Millstreet, Co Cork",Millstreet Community School,ChIJc4l_sCncREgREysRMu6falg,M,41,88.4,139,157,13.9,029-70087,
394,337,"Moate Community School, Church St, Co Westmeath",Moate Community School,ChIJ0Q8EmWOzXUgRctAmFki05Hg,M,34.2,81.4,420,429,10.3,090-6481350,
165,192,"Mohill Community College, Co Leitrim",Mohill Community College,ChIJB3ilbtF9XkgRlou7TPYDfcY,M,51.7,81.2,155,212,,071-9631122,CmRaAAAACfn9dZ-5jC9fME-V-Ka3glfkC_1V60Xqlc9fxORbaQ-oRJNblv33KrmbcqSzbShV-4NdLlJU0qn30-ogHrhb2IHPmr2YT98VyFaqUBfMxteWPr9ua8r5JvxHWV4oUiH-EhD-uoBWhhcvvqaCNaBGypI1GhSeUQZrA4MGRwUgSj294I-V7b7AgA
383,,"Monaghan Collegiate School, Corlatt, Monaghan",Monaghan Collegiate School,ChIJrasl9JqnYEgRRNrUhilh-7Q,M,35,70.7,130,126,15.8,047-82060,CmRaAAAAVJ6_zcoGHkvy2k65rYSBC2xCq_-qphD-w5PGWhW_aw_EZHGrrM46wxLy9hlVv5_NAcZRJOcDextmjoP3btxrLqF-s8XwP8tugoVn1Q6Y--3RmkRaxMCGodA2LzD1L79xEhCN2eTyKzJ6JaJNQIq5ip8ZGhRsCYbR51GaIT8B3pY40q2pvO-qog
13,9,"Mount Anville Secondary School, Goatstown, Dublin 14",Mount Anville Secondary School,ChIJbTfkYXkWW0gR2fGykkibNxA,G,80.3,99.9,0,662,20.8,01-2885313,
20,21,"Mount Mercy College, Model Farm Rd, Cork",Mount Mercy College,ChIJBzRSF_CRREgRSEHlwVm4XKQ,G,76.8,95.5,0,833,16.9,021-4542366,
19,31,"Mount Sackville Secondary School, Chapelizod, Dublin 20",Mount Sackville Secondary School,ChIJ1X9-8iINZ0gR7AigGVmqJV4,G,76.9,96.5,0,654,20.8,01-8213317,CmRaAAAAiiXUbMh47LaN8Zi_I2BJ0yrkox7ynImWwbPlAh-tyOUB31dUqUC7XM48rqvcTMT6Y8yxZwgmwhWYoLaGl6mR0Bkso7_6mLTeu2NSq7ikDx4CS7ttVIbeR8s81d0_nQ80EhDNthJ5Vknixab1HmtQm7eXGhSnL08jbbqUAaEMY4Eme2D6orbDOQ
120,107,"Mount St Michael, Claremorris, Co Mayo",Mount Saint Michael,ChIJFVQUWm79W0gRvQ4d_bTqJZE,G,56.6,82.8,0,465,15.3,094-9371474,
182,264,"Mount St Michael, Rosscarbery, Co Cork",Mount Saint Michael’s Secondary School,ChIJM9lUOFNTREgRBu1XPMF6BT0,M,50,83.4,203,170,12.5,023-8848114,CmRaAAAAe_tVF-QFElqGXH4swxUMm5VEuYAHOtlRUTF39nd0zKyxpYNZO4qMOhEr9aOO7d4E_Yv3d6XD223wp9ymLMQkdqm_R_3g5BGgtnNsSD00d7smRa6J4Nl7hCfyGAoUv0CrEhDQ8AceoefKyN6IkvYs6iv5GhQDLxHELuUNFBZWqScDP06Uld3lNw
150,214,"Mount Temple Comprehensive School, Clontarf, Dublin 3",Mount Temple Comprehensive School,ChIJf41O4k0OZ0gR4JrV1ImtDfs,M,53.1,84.9,454,442,14.8,01-8336984,CmRaAAAAN4UNnZuKoNGKcpr8miqJqeO2GglQqNS2NpbrHXda7KMu8uXWeQYphtc1INHFZeULOI7ZAgD-7CVeK_JoT68Jn_pJtPqLbKb2H0mFb2kLwtLmgFjf6WFmTmyAAPeGfy2sEhDi-qmIgDy9bo55Lp_W13dpGhTmHAY9LtoOBe8COik-MZieI68XMg
218,242,"Mountrath Community School, Co Laois",Mountrath Community School,ChIJg9cjbtgEXUgRKWiqdY5Myaw,M,46.5,78.4,396,383,15.1,057-8741080,CmRaAAAAvf5W7oe4Ohf_9z7FRdOdENThmmuV45K8YJ04J1pplUjgEUngt8nWsneJ-glcKOaFLl2zpnyL4-yTi83Rt8YIDGn71tC-A2Ak4So4uHMhNCWNXC5oYjKBHmLnugSMZVUjEhBG3gIEdDxeaLIjrqNXrADYGhSTyQdNJfEhc31nEv9pGkEutOGLoA
44,38,"Muckross Park College, Donnybrook, Dublin 4",Muckross Park College,ChIJCTfuK7cOZ0gRb08clmT3ssQ,G,68.4,97.6,0,712,16.1,01-2691096,CmRaAAAA73thcJKQz3snI51QtwSANm-zROM0ueP0pi7SRWzAExQ_6p587FqvNA_ITkSEKAcWmJj1ANyfVcRn_3LDZWLCxIjzRxZ-CHlXpIYGwgvg1ciG_7VfJilddd7K9PYCCwzBEhA3FDe10ejtYjKxYzi4TpUbGhT5zknlmiiRDyVBmkMvKf61-Myx3Q
45,37,"Newbridge College, Newbridge, Co Kildare",Newbridge College,ChIJcdae9vx_XUgROK13eKIlnLg,M,68.1,97.7,446,436,19.5,045-487200,CmRaAAAAmoPA9-g75hxkpJZp01cyiyLa3WzuU5JqLGZokUNfzcPfKQs61hKHInbj8udMdimDiu93Sahuc_TRJNUTU9sXprwRQHbsucIIQ08BIuj08Q8M0CIXn6wqS_Lm30lQxM-GEhDi-KiJp99MA4kNh0vjeTmYGhR4sBIkEod-W7EWsysELnLmiX6smA
300,383,"Newpark Comprehensive School, Blackrock, Co Dublin",Newpark Comprehensive School,ChIJn3rZp-wIZ0gRDC17B3XLZkw,M,40.4,74.7,439,409,11.8,01-2883724,CmRaAAAAndFC-_Rntdo_KW0yxuX8p_xbf2tGPntmO6fqrncy2avFpO_FgfmtN4f52ToR4e0CBHoc1sw-2mejX74cZWyW0MMczFaSTpolAzMFdbusypGilD9dY2I48lAiHLT2bfavEhBHy4FunU7W9UrHTQmkh84uGhScZy4OVGAtjHG6TGuEKSCMpCQhGA
152,210,"St Mary’s Secondary School, Newport, Co Tipperary",Newport,ChIJC46tDKahXEgRcBgyl6nHAAo,M,52.9,81.9,264,245,16,061-378344,CmRaAAAAH6WBpPk-uNbf0BbESyVknVZx24flw7aIMmilJbnQz06GC-5jJz18fyvD-bZY9v3uQ6tCcz4OsJxLA8lytcUynB8ch64koloEEWDFRqm9ehCWVcRFF4jWgrmAgvMVXde_EhA2TqFoHuZzH-6dpuEvJj2KGhTZODp3o8A-B3lyQw0RoGBz2b5bZA
377,,"Newport College, Newport, Co Tipperary",Newport College,ChIJyzzab6yhXEgRLKseTdFHc7M,M,35.3,70.5,73,66,,061-378262,
309,212,"Newtown School, Waterford (B)",Newtown School,ChIJlYJ0y6LGQkgRuiQm--r_HQE,M,39.7,67.8,182,190,12.9,051-860200,CmRaAAAA4x4BGuAdtL7Rpir7mlutwjdHkAwVCKwcXQ71cEnVrIRv6vZMGvGqFz_poT__BfPPvBMFzWmtGDWLtgdh540PX11BMBiarClQe5CmhwqSnUXytNCRXR7U2cDK5bfNqiNdEhBQCTTAHcMGdAJg-P_dDXnLGhTV4JyBtvTBFD8lz2fUl17zsMVlrQ
88,87,"Notre Dame, Dundrum, Dublin 14",Notre Dame School,ChIJBajETeQLZ0gRZHwHNyFFXWc,G,61.2,95.1,0,128,12.5,01-2989533,CmRaAAAA12ZdKwa4SL6x29ICIuNb4Wt7IX6lb9tFuikwaYiEKbM7ZoxeGEzav9OHm24iskkGQXVDnOWDI-OxCMovDqdPAXXp7-z9YSqbKqtn8lD5yngPUHiKl0atijjcqH7pnUPFEhAf19QvWfuURdNbWn7tLDRUGhR2hfMl-eAmBvIvluzmTDimD1ONVg
