Rank,Previous rank,Name,official_school_name,place_id,Type,% at university,% at third-level,Boys,Girls,Students/staff ratio,Telephone
313,298,"St Caimin’s Community School, Tullyvarraga, Co Clare",St Caimin's Community School,ChIJx_KVGNtBW0gRZ3z4gIaUszM,M,39.6,72.4,354,378,15.5,061-364211
314,250,"Ardscoil Mhuire, Corbally, Limerick",Ardscoil Mhuire,ChIJb3DZS0BcW0gRVqfSyHg8Fqc,G,39.6,69.1,0,459,15,061-349014
315,202,"Mean Scoil Nua an Leith Triuigh, Castlegregory, Co Kerry",Mean Scoil Nua an Leith Triuigh,ChIJd26JFRZTRUgRfa7jGuNMIxs,M,39.4,84.8,75,62,10.4,066-7139746
316,350,"Colaiste Na Sionna, Banagher, Co Offaly",Banagher College - Coláiste na Sionna,ChIJi7ip2QpZXEgRr1jrNFKKZ0w,M,39.4,81.8,274,262,,057-9151323
317,216,"Jesus & Mary Secondary School, Enniscrone, Co Sligo",Jesus & Mary Secondary School,ChIJOw3bdnwxWUgRDL0YEsDnph0,M,39.4,80.3,144,130,12.3,096-36496
318,259,"St Joseph's Community College, Charlestown, Co Mayo",St Joseph's Community College,ChIJ0ydEOUGyXkgRpKDo3w1fmJU,M,39.3,76.3,85,78,,094-9254211
319,239,"Clifden Community School, Clifden, Co Galway",Clifden Community School,ChIJQTJviVo7WkgRX9ilNUMrFDU,M,39.3,72.8,220,181,12.7,095-21184
320,386,"Scoil na mBraithre, Dungarvan, Co Waterford",Dungarvan CBS,ChIJR1GZ2SEYQ0gRvcHjUwPB7AQ,B,39.2,87.3,319,0,15.1,058-41185
321,273,"Pobalscoil Inbhear Sceine, Kenmare, Co Kerry",Pobalscoil Inbhear Scéine,ChIJPXbKpatsRUgRBYqOu1qwzZg,M,39.2,77.7,243,235,12.8,064-6640846
322,303,"Blackwater Community School, Lismore, Co Waterford",Blackwater Community School,ChIJ_8SqWKBBQ0gRL8971dOCWsU,M,39.2,75.7,391,393,14.3,058-53620
323,367,"Colaiste losaef, Kilmallock, Co Limerick",Coláiste Iósaef Community College,ChIJTfbud8ZSW0gRKfCKF__FxUU,M,39.2,65.6,245,192,,063-98275
324,322,"St Joseph’s Secondary School, Ballybunion, Co Kerry",St Josephs Secondary School,ChIJi62FXc3FWkgRtX2O0MYu1UA,M,39,84.4,154,139,12.8,068-27205
325,352,"Colaiste Bhride, Carnew, Co Wicklow",Coláiste Bhríde,ChIJ3a-RaGTwZ0gRc_4LGap7TIA,M,38.9,79.1,402,424,,055-26318
326,344,"St Louis High School, Rathmines, Dublin 6",St Louis High School,ChIJ80PzXQMMZ0gRSqACTokOwEQ,G,38.9,78.7,0,650,15.3,01-4975458
327,388,"Scoil Mhuire Community School, Clane, Co Kildare",Scoil Mhuire Community School,ChIJUXO_J1AOZ0gRyloY3xqBng8,M,38.9,70.6,579,567,16.2,045-868121
328,342,"St Mary’s College, Ballysadare, Co Sligo",St Marys College,ChIJq3MEyfLBXkgRGrQcEqlYQXY,M,38.8,74.5,114,90,11.6,071-9167579
329,253,"Schull Community College, Schull, Co Cork",Schull Community College,ChIJUe_ZFG-ZRUgRrU6PefBhAJs,M,38.8,73.8,221,184,,028-28315
330,296,"CBS Thurles, O’Donovan St, Co Tipperary",Christian Brothers Secondary School,ChIJNTHQZcDEXEgR2OWQAC2pL5o,B,38.7,74.7,700,0,15.4,0504-22054
331,394,"Cashel Community School, Cashel, Co Tipperary",Cashel Community School,ChIJxSHRttzLXEgRZoKNwElWdbs,M,38.7,69.4,434,393,14.6,062-61167
332,315,"Abbey Vocational School, Donegal",Abbey Vocational School Donegal Town,ChIJM2gLqzOoX0gRXXGIGbaqi8U,M,38.6,85.6,409,433,,074-9721105
333,314,"Dominican College Sion Hill, Blackrock, Co Dublin",Dominican College Sion Hill,ChIJ-UioQdsIZ0gRwAHOnjq8sko,G,38.6,79.3,0,434,16,01-2886791
334,294,"St Mary’s College, St Mary’s Rd, Galway",St Marys College,ChIJQfHCd_iWW0gR9Vq7cBOPOw4,B,38.6,75.5,403,0,14.1,091-522369
335,,"St David’s Secondary School, Greystones, Co Wicklow",Saint David's Holy Faith,ChIJN61BliuvZ0gR-NWXzqEv2pY,M,38.5,80.9,344,218,14.1,01-2874800
336,,"Colaiste Pobail Setanta, Dublin 15",Coláiste Pobail Setanta College,ChIJ_Vj00GRtZ0gRRX_whCP8XkU,M,38.5,73.8,534,540,,01-6402403
337,380,"Mean Scoil an Chlochair, Kilbeggan, Co Westmeath",Scoil an Chlochair,ChIJYyUvNIu6XUgRdsvmKoxVH6s,M,38.4,83.7,263,259,13.5,0506-32292
338,321,"Colaiste Choilm, Tullamore, Co Offaly",Coláiste Choilm,ChIJUWfgx46lXUgR_-vnbJUlvsI,B,38.4,74.7,618,0,14.5,0506-51756
339,285,"Good Counsel College, New Ross, Co Wexford",Good Counsel College,ChIJC8xD1LS2QkgR3hsEwhoj7j0,B,38.3,79.2,823,0,14.7,051-421182
340,249,"Mercy Secondary School, Ballymahon, Co Longford",Mercy Secondary School,ChIJHb9CqHvLXUgR2pIq5cMRp9I,M,38.1,75.8,297,323,15.5,090-6432267
341,371,"St Jarlath's College, Tuam, Co Galway",St. Jarlath's College,ChIJweZor7X2W0gRKlWKtMXL3dc,B,38.1,68.2,534,0,14.3,093-24342
342,304,"Beara Community School, Beara, Co Cork",Beara Community School,ChIJM0LpiEx-RUgRJMwY5MahMsY,M,37.8,79,178,149,11.4,027-70177
343,,"Ballyhaunis Community School, Ballyhaunis, Co Mayo",Ballyhaunis Community School,ChIJXdUkX56qXkgRG919rQqLR_A,M,37.8,73.8,257,282,13.8,094-9630235
344,257,"Douglas Community School, Douglas, Cork",Douglas Community School,ChIJP5P5uVCFREgRX6_NnP1UZHg,B,37.7,78.4,589,0,13.8,021-4294201
345,,"St Brendan's College, Belmullet, Co Mayo",Saint Brendan's College,ChIJ_UpVfGmoWUgRSP6zCI0f7B8,M,37.6,68.3,175,168,,097-81437
346,,"Rathmines College, Rathmines, Dublin 6",Rathmines College,ChIJq31lIx0MZ0gR_uek0Ecfcog,M,37.6,50.2,47,55,,01-4975334
347,356,"Castleisland Community College, Castleisland, Co Kerry",Castleisland Community College,ChIJWVrwyRouRUgRV8HrJnGRX08,M,37.5,78.5,129,102,,066-7141196
348,291,"St Patrick's Cathedral GS, St Patrick's Close, Dublin 8",St. Patrick's Cathedral Grammar School,ChIJhwYhMSEMZ0gRpW3MaWasXpw,M,37.5,73.8,100,72,10.4,01-4543388
349,381,"Gairmscoil Fheichin Naofa, Corr na Mona, Co Galway (G)",Coláiste Naomh Feichín,ChIJS4uUxorPW0gRdJ-JgWbF_xk,M,37.4,55.9,44,43,,094-9548006
350,309,"Coachford College, Coachford, Co Cork",Coachford College,ChIJYckCCynsREgRkxik-QPvyvo,M,37.3,80.2,329,285,,021-7334113
351,305,"Gort Community School, Gort, Co Galway",Gort Community School,ChIJv2DZyquCW0gRAHJ3g7yZtqo,M,37.3,79.2,362,378,15.2,091-632163
352,395,"St Michael's College, Listowel, Co Kerry",St. Michael's College,ChIJFdvUcgPRWkgR4YEgDrZvwTo,B,37.2,80.8,246,0,14,068-21049
353,364,"Loreto Community School, Milford, Co Donegal",Loreto Community School,ChIJReYuQGHyX0gREmB5CQmF1cc,M,37.1,86.9,403,380,14.9,074-9153399
354,282,"Colaiste Treasa, Kanturk, Co Cork",Colaiste Treasa,ChIJfcd6tevFREgRIlSqh6W7Ypo,M,37.1,78.8,258,263,,029-50062
355,376,"St Aidan's CBS, Whitehall, Dublin 9",St. Aidan's CBS,ChIJhw9gehYOZ0gRSVm3W0d8xVA,B,37.1,75,706,0,15.2,01-8377587
356,293,"Holy Family Secondary School, Newbridge, Co Kildare",Holy Family Secondary School for Girls,ChIJO3wtrwmAZ0gR424aymKzgKU,G,36.9,65.3,0,709,16,045-431957
357,351,"Maria Immaculata Community College, Dunmanway, Co Cork",Maria Immaculata Community College,ChIJM1dgy60BRUgRAivll7NlPDY,M,36.7,73.5,249,241,,023-8856030
358,,"Largy College, Clones, Co Monaghan",Largy College,ChIJK2g1eFYYXkgR7u3iSAxGj3E,M,36.6,79.1,190,206,,047-51132
359,355,"Colaiste na Trocaire, Rathkeale, Co Limerick",Coláiste na Trócaire,ChIJr71PfJ03W0gRXj8ewuS4vaQ,M,36.6,76,205,265,,069-64094
360,,"St Kevin's Community College, Dunlavin, Co Wicklow",St. Kevin's Community College,ChIJ_Z7osEmGZ0gRZyXMtPf75y8,M,36.4,62.6,279,325,,045-406000
361,384,"Gorey Community School, Esmonde St, Gorey, Co Wexford",Gorey Community School,ChIJq6ZidVLmZ0gRAlcvB0-qqQ4,M,36.2,66,740,744,14,053-9421000
362,139,"Gairmscoil Mhic Diarmada, Arainn Mhor, Co Donegal",Arranmore,ChIJc4c6o5dvX0gRfypB0_z_FQ0,M,36.1,83.9,52,53,,074-9520747
363,297,"St Catherine’s Vocational School, Killybegs, Co Donegal",St Catherines Vocational School,ChIJkznXb18aX0gR70po0cvEibQ,M,36.1,74.9,157,143,,074-9731491
364,382,"Colaiste Eanna CBS, Ballyroan, Dublin 16",Coláiste Éanna,ChIJX6wDLaMLZ0gRnFOe7dq6A7A,B,36,81.3,612,0,14.9,01-4931767
365,,"Patrician Secondary School, Newbridge, Co Kildare",Patrician Secondary School,ChIJa78k_giAZ0gRQSn9DfJNNs8,B,36,62.4,890,0,15.1,045-432410
366,369,"Borris Vocational School Borris, Co Carlow",Borris Vocational School,ChIJKUW6qWNOXUgRpBR759kEqi4,M,35.9,74.7,273,238,,059-9773155
367,397,"Colaiste Muire, Ballymote, Co Sligo",Colaiste Muire,ChIJCR9EdgO_XkgRnBxpJcho8Mg,M,35.9,70.2,112,138,13.8,071-9183086
368,329,"Ardscoil na mBraithre, Clonmel, Co Tipperary",Ard Scoil na mBraithre,ChIJa2KxRP0xQ0gRiX0OQnvawmc,B,35.8,73.9,706,0,13.9,052-6124459
369,,"Presentation Secondary School, Ballingarry, Co Tipperary",Scoil Mhuire Presentation Secondary School,ChIJydmxXCzWXEgRaP1ac3xRlCY,M,35.7,84.8,119,98,12,052-9154104
370,353,"Colaiste Mhuire, Buttevant, Co Cork",Coláiste Pobail Noamh Mhuire,ChIJ3cZw_bSwREgRknldXY56kao,M,35.7,67.3,164,152,,022-23733
371,,"Virginia College, Virginia, Co Cavan",Virginia College,ChIJRdmUb9P9XUgRI5j2NoP5fNU,M,35.7,64.8,379,258,,049-8547050
372,,"St Mary's CBS, Portlaoise, Co Laois",St. Mary's CBS,ChIJCUhgZMsNXUgRdWhQgScnh3Q,B,35.6,62.4,840,0,16,057-8635041
373,,"*Pobailscoil na Trionoide, Youghal, Co Cork",Pobalscoil Na Tríonóide,ChIJwyAZ5qJtQ0gRi0jF676agl8,M,35.5,76.8,463,455,14.9,024-25836
374,327,"Rockford Manor Secondary School, Blackrock, Co Dublin",Rockford Manor Secondary School,ChIJh1EtkpEIZ0gR1lMjFQUd-zc,G,35.5,74.8,0,305,12.4,01-2801522
375,235,"Scariff Community College, Scariff, Co Clare",Community College Hall,ChIJAWuL_ladXEgRheuAp5iR13o,M,35.5,68.4,191,213,,061-921083
376,,"*Colaiste Ris, Dundalk, Co Louth",Coláiste Rís,ChIJF3koAqTOYEgRH3jaXSMARe8,M,35.3,83,434,177,15.9,042-9334336
377,,"Newport College, Newport, Co Tipperary",Newport College,ChIJyzzab6yhXEgRLKseTdFHc7M,M,35.3,70.5,73,66,,061-378262
378,300,"Portumna Community School, Portumna, Co Galway",Portumna Community School,ChIJ2YSPXXKKXEgRFExJDjQzzLg,M,35.2,80.4,228,217,13.1,090-9741053
379,348,"St Clare’s Comprehensive School, Manorhamilton, Co Leitrim",St Clares Primary School,ChIJJUf8mMTwXkgRdUPiFGgb6xw,M,35.2,69.7,258,249,13,071-9855087
380,,"Killina Presentation Secondary School, Tullamore, Co Offaly",Killina Presentation Secondary School,ChIJ_Z3QiKavXUgRL3i9R6l7FJg,M,35,75,237,210,12.9,057-9355706
381,,"Colaiste Chriost Ri, Capwell Rd, Cork",Colaiste Chriost Ri,ChIJ6exE8wKQREgRt6SP8REj7Z4,B,35,74.8,642,0,15.2,021-4274904
382,274,"Dominican College, Wicklow",Dominican College,ChIJCYI18cqwZ0gRavLUICbxAQg,G,35,71.1,0,443,15.7,0404-68111
383,,"Monaghan Collegiate School, Corlatt, Monaghan",Monaghan Collegiate School,ChIJrasl9JqnYEgRRNrUhilh-7Q,M,35,70.7,130,126,15.8,047-82060
384,243,"Gairmscoil na bPiarsach, Rosmuc, Co Galway (G)",Coláiste na bPiarsach,ChIJ_c21clG1W0gRNDij4PFd_Lw,M,35,64,40,43,,091-574100
385,,"Colaiste Pobail Rath Cairn, Athboy, Co Meath (G)",Coláiste Pobail Rathcairn,ChIJddL5xDFfZ0gRFO6AkFSKdAc,M,35,56.1,64,51,9.1,046-9432722
386,396,"Colaiste Mhuire, Mullingar, Co Westmeath",Coláiste Mhuire,ChIJqaYY5BvAXUgRGHF4P7plvMw,M,34.9,59.6,698,20,16,044-44743
387,349,"Glanmire Community College, Glanmire, Co Cork",GLANMIRE COMMUNITY COLLEGE,ChIJX1GrRwubREgRdUmFeIe_VWk,M,34.7,76.1,584,442,,021-4822377
388,323,"Colaiste Phadraig CBS, Lucan, Co Dublin",Coláiste Phádraig,ChIJ-eKNHvpyZ0gRWhvfJ9hcIfI,B,34.7,71.7,652,0,13.2,01-6282299
389,,"St Mel's College, Longford",St Mels College,ChIJKwqUOpzTXUgRRpHjT6u-cis,B,34.6,79.1,473,0,16,043-3346469
390,,"St Aidan’s Comprehensive School, Cootehill, Co Cavan",St Aidan's Comprehensive School,ChIJ5wwTwiQdXkgRGlX2tLQ7hNk,M,34.6,73.6,255,260,12.9,049-5552161
391,360,"Castlecomer Community School, Castlecomer, Co Kilkenny",Castlecomer Community School,ChIJBwv9vzc-XUgR5smoVCN1Ois,M,34.6,67.9,287,278,13,056-4441447
392,400,"Colaiste Pobail Acla, Achill, Co Mayo",Coláiste Pobail Acla,ChIJSTHSGiacWUgRnraLwoJGrFc,M,34.5,79.5,133,104,10.3,098-45139
393,377,"Presentation Secondary School, Clonmel, Co Tipperary",Presentation Secondary School,ChIJG76HNuYxQ0gR4UBXdmwvTbY,G,34.4,61.6,0,460,13.3,052-6123587
394,337,"Moate Community School, Church St, Co Westmeath",Moate Community School,ChIJ0Q8EmWOzXUgRctAmFki05Hg,M,34.2,81.4,420,429,10.3,090-6481350
395,391,"Abbey Community College, Ferrybank, Co Kilkenny",Abbey Community College,ChIJO92hMJDGQkgRnCOrxl_4hYs,M,34.2,75.3,463,375,16.4,051-832930
396,379,"Drumshanbo Vocational School, Drumshanbo, Co Leitrim",Drumshanbo Vocational School,ChIJo8CoRTyJXkgRE-yVYnr3b04,M,34.2,59.3,135,143,10.8,071-9641085
397,387,"St Raphaela’s Secondary School, Stillorgan, Co Dublin",St Raphaelas Secondary School,ChIJeUmiRhMJZ0gRxXjA827coLE,G,34.1,75.3,0,564,14.4,01-2888730
398,,Donabate Community College,Donabate Community College,ChIJL48CfCgaZ0gRLs1AkLu1iRk,M,34.1,59.4,418,378,14.9,01-843 6726
399,398,"Colaiste losagain, Portarlington, Co Laois",Colaiste Iosagain,ChIJR3rpQm91XUgRrGUYBb1lG6E,M,34,63.7,488,481,16.7,0502-23407
400,,"Cnoc Mhuire, Granard, Co Longford",Cnoc Mhuire Secondary School,ChIJuQA6p5beXUgROx8ON_ha3mE,M,33.8,67.5,221,239,16,043-6686231
