Roll Number,name,official_school_name,website,Address 1,Address 2,Address 3,Address 4,Address,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils,Placeid,Lat,Lng,Photo Reference1,Photo Reference2,Photo Reference3,Photo Reference4,Photo Reference5,Award Title,Project Title,Project Category,Student(s),Award Title2,Project Title2,Project Category2,Student(s)2,Award Title3,Project Title3,Project Category3,Student(s)3,Award Title4,Project Title4,Project Category4,Student(s)4,Award Title5,Project Title5,Project Category5,Student(s)5,Award Title6,Project Title6,Project Category6,Student(s)6,Award Title7,Project Title7,Project Category7,Student(s)7,Award Title8,Project Title8,Project Category8,Student(s)8,Award Title9,Project Title9,Project Category9,Student(s)9,Award Title10,Project Title10,Project Category10,Student(s)10,Award Title11,Project Title11,Project Category11,Student(s)11,Award Title12,Project Title12,Project Category12,Student(s)12,Award Title13,Project Title13,Project Category13,Student(s)13,add
76334I,St Joseph’s Community College,St Joseph’s Community College,maghenecollege.ie,Charlestown,Mayo,,,"Charlestown, Mayo",Mayo,F12WE19,-,info@sjcc.ie,John Killeen,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,69,74,143,ChIJ0ydEOUGyXkgRpKDo3w1fmJU,53.960325,-8.801422,CmRaAAAAE09g9igNJ-uiVhr_1x9IsHiNZjrUcH4vq66iBX3a1VRo0tD4_fB4VIfSjQMhFMUUhWLBPQ7YC13jJ2kQHV9PgpT3nd-IEFkvm28gH04tRmlo7scurqvn2e5lrQllNZiGEhCogfM5wpnXCRJ7LMetRIvfGhRfl1LMkYma3xgu2GTLVfrF9NyjQg,CmRaAAAAf3DV2nXiIOMIpTXbPNbkEBZ7l2SNM8I0UwH6FZmppRXRXvdYoYnas_Midvj_wpDy910T2LQ2XpK1R6kxVwHJyOL-_EInW_5ZTOk80V_4B-ctcPEYuLuqfg6rM_9ifQdAEhB9K05AzdPRCpJOVnQXLVGTGhQXMnYR5CQFg2h5qCM-NCJjnyPWHQ,CmRaAAAABHCOCRGAg2tiqG_AiMqxj9OtEELT6UuefhRurBl5p4hwvvdGPEHxQnDGij7BRgPSD0DIW7DiDshIbC8GwEickPiwPJNCrqPZuHJtAeSjVLNXuBwpqQ7zyzuvt1BJIwNvEhCKss-4MByXMk6PxviBl5M3GhRLBn00CXS70ZtK_r5Om-nYHUwVhA,CmRaAAAAl__ETtEmPzeavwC6E1qKaDywD2uSHN3HsWp6qkYYuTbaVHS9E0TntXkdzudCes5LiiJB296U7EQ6SjDRVxdtqgkk7xQJNT0k1Tq_l9Se0-IZ_KQTHqUJJ09DdGu8UYUDEhClXgnTKTbsg3OZOSI_62hZGhSSTmxEXHQ9ORVUzo78cyvgt60zew,CmRaAAAACSAaiOliouNcoNhd8A5YwV31ulpULbiUEbNmaZ_Q4rxx_Us8lGTkIWpPMdviXha9Q_8OXQKHuE53fCeL3hLlehwtr-COiJoqsqzIsiXtQZWX0ksZ9cuieMIRBdk9gpG1EhDX1NUtmGG4ZGcIC6mZxrlWGhRRTkZo0leXGgPyRDAQKv_URiLk_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
76394D,Clonturk College,Clonturk Community College,clonturkcc.ie,Whitehall,Dublin 9,,,"Whitehall, Dublin 9",Dublin,D09W5K6,15596960,info@clonturkcc.cdetb.ie,Susan Campbell,N,Mixed,Unknown,No subjects taught through Irish,N,U,MULTI DENOMINATIONAL,Open,50,69,119,ChIJYxGmWRUOZ0gRiUJGw-SQ0Js,53.3794545,-6.2482653,CmRaAAAAOy75JcMPPZjCKOk7mbbh5ee63N9AkZTy70QRrZl-UTxyVZ1rqlc2INUoIGf6WhK9m9hECuWzgaYrZQ5osANgrv-ORPe-XbKD4u4j32crm9z6uQAP9rHhrI6zFMeatlm1EhDsD2-pQ21pmUlTeYjoB8I2GhQQVSn0mvtl-K-bF8NBDuACEZ5kpA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
76414G,Thomond Community College,Thomond Community College,thomondcommunitycollege.ie,Moylish Park,Moylish,Limerick,,"Moylish Park, Moylish, Limerick",Limerick,-,-,info@thomondcc.ie,Mr. Eugene O'Brien,Y,Mixed,Day,No subjects taught through Irish,N,U,MULTI DENOMINATIONAL,Open,320,170,490,ChIJ2bBKkPlcW0gR3e46wWl9gt8,52.6785704,-8.6488791,CmRaAAAAZW_aROJtLSG6d88spfBhT1QgmYlyQNwqVrNzHg3s4repqHGl0QaeK3g4WtDyhlXfKssGqmOVOC8CcnYT61y7eEB5liPvi9zhUZJtAzGfa3gka7acWpvGQWl-GBjaMMdpEhCdn6sRg7Gg_E3jwmqMGiI8GhRbWylU8oMv32yDQlKDctrn7O3Ieg,CmRaAAAAaZdCjfFDvMcJHuIknDCWiCQN90aeZMqcOeMhZceylIPOIEp94JOKGxxVFzxoHY-ILekyhk1QYU6PAQwmM17ECLiOQ6Z8ATu7KpuJbRS5VDQOsgr3DmxIUzOg4mKzr84UEhAY2BXMC4akIxxrLrMrPdmeGhSyDLkXJMA1o6EuHpL9oMtiKPCGYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
76454S,Griffeen Community College,Griffeen Community College,griffeencc.ie,c/o Kishogue Community CMain Street,Kishogue,Lucan,Co. Dublin,"c/o Kishogue Community CMain Street, Kishogue, Lucan, Co. Dublin",Dublin,K78DC89,14529600,rachelmcgrath@griffeencc.ie,Rachel McGrath,N,Mixed,Day,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,1,15,16,ChIJfdZnWw9zZ0gRA7C_UdMiJ60,53.3360403,-6.4267664,CmRaAAAAb3WqY-PDCYL6SvtQ0CKYtFQX_3GI6MRG-FrQopt6u0qHE2euF37JfxghvGWCT8o_GpSD77JiX-ygAyIH9lFhxW1qa8QbvcOXLZfd2UFhZVWRhJri9zPh7YcsS-08xDBDEhAKLLqsD2vho9-arWPyy05gGhSqjDmAk1QrpjTMKZ2mwygsgHRmJQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
76474B,Dunamase College (Colaiste Dhun Masc),Choláiste Dhún Másc,colaisteiosagainport.ie,Railway Street,Portlaoise,Co. Laois,,"Railway Street, Portlaoise, Co. Laois",Laois,-,858072118,principal@dunamasecollege.ie,Aoife Elster,N,Mixed,Day,Some pupils taught all subjects through Irish,N,N,MULTI DENOMINATIONAL,Open,19,17,36,ChIJEzwvf8sNXUgRBWLY9MKzKcc,53.0348744,-7.2989763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
76476F,Mungret/Dooradoyle Community College,Mungret Community College,mungretcommunitycollege.ie,Old Stables Mungret College,Dromdarrig,Mungret,Co. Limerick,"Old Stables Mungret College, Dromdarrig, Mungret, Co. Limerick",Limerick,V94ND77,876742940,liam.omahoney@lcetb.ie,Liam O'Mahony,N,Mixed,Mixed,No subjects taught through Irish,N,N,MULTI DENOMINATIONAL,Open,35,58,93,ChIJD_pmL05bW0gRJZ7Ee3LE8Po,52.6311513,-8.6812675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81001I,Newpark Comprehensive School,Newpark Comprehensive School,newparkschool.ie,Newtown Park Avenue,Blackrock,Co Dublin ,,"Newtown Park Avenue, Blackrock, Co Dublin",Dublin,A94EV70,12883724,office@newparkschool.ie,MR. DEREK LOWRY,N,Mixed,Day,No subjects taught through Irish,N,N,CHURCH OF IRELAND,Open,402,461,863,ChIJn3rZp-wIZ0gRDC17B3XLZkw,53.2898876,-6.173119,CmRaAAAA4TvQcvEvmyUbM-vXu6aofMbrzAwu460mZQFYTrf9FZLa2ZLBtIE6y7bY8E3OFScnNwnA-9lGvtbAicvgpKeGJJBJsYkwMlM5_ve6ngDUUu3eViDrmKmny6M-nTJrEEo-EhCL5XgaYf3hKuUoPTpSCGo1GhRKD63yodxlWC9a2PsIW7CL8sE1Jw,CmRaAAAAnbOY32rB9bG5WymMQG9eN-DcH2p0MkpvYZ0AfykXFqUJ4nr1_VhfwvNMMWMGNPyuVO09oGLYeSicNK1jJlZA_5R8osWOMkzQ25uNoGb0VpFJPx9T8tNCNmzo-QNNEU13EhCpaBFQ-NjUovK0e5eViskEGhQeMs06flhKZgBy13VzDXqFYunX-w,CmRaAAAARow7CyEBZkCbdmWk_PegCGP7v--omhxpD69mlhWB-zeCwasnJuHpxZVJo1aZxtgiL0CCPzEGG4yEmjmqsb90pGySePL-EFlC3idUMl-ZBbpa1ETvmjtlAhcWAukZEFxLEhDLbyD0zwfLGxUp4IZ-rKWhGhRWNw6_PYMoPN6mVzNGUYN4_zbV0w,CmRaAAAAlyixxolJh0O6EOXhksQBvMYhAkf3Qc7bzImiPiMkX25zPnd15Uf60wg75Zlxrn0lx8vj9zQKULRkyZJh5K7mDymXFFU_6Z-UbsZfF0FDKA7cQR6ND6Fo0-75HtnM2Ir7EhC4fQoNxTS4L1abbosG3r1wGhRJHKftDnK2-pXdl6MnvB8D2AY7hg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81002K,Mount Temple Comprehensive School,Mount Temple Comprehensive School,mounttemple.ie,Malahide Road,Dublin 3,,,"Malahide Road, Dublin 3",Dublin,D03DX79,18336984,office@mounttemple.ie,MR. LIAM C WEGIMONT,N,Mixed,Day,No subjects taught through Irish,N,N,CHURCH OF IRELAND,Open,437,449,886,ChIJf41O4k0OZ0gR4JrV1ImtDfs,53.3689601,-6.2225975,CmRaAAAA3HrZX5CmqEWG9G96CCYWFWS--a3gnbZpCMPI3J3nJtVoI35J0y57wpK8gK9UJJnnZQ1wqtMGCuvXkVQvdRrWg0AVmIQd9zkZRiiEYHC8ClggDNsYwz91-pR3T7R037frEhBROYceoVGbnIbxpqYOupMgGhRBaaNx6Ic2JvlVe7CJHdQNznM9Tg,CmRaAAAAuefEJBmvduimGW1isman1WIQsWkE14b9p3HDWtNoQ5v7Mb9ZVu_tyBvawiAkTvZnwiPI9kD30JVvZHFZrM0E6532rJx2uSuscIbph50uNx3WYWTyhoxrj5nGj3RnMRIYEhAaecHrtzrufNegZRjhOC-8GhQMh_nqvn7i2TElk1auVgCrOnTNkA,CmRaAAAAEUy9a0JFszzefSZxPs50iwvvA56g8OFMTYGt0Ga759Osz6eoBPa0xnZcsBwCZrog8CtrxLA0ChUlcFAYSA9xD2_mUUmZ-NGgxvLO9i5mkj3SLRAGFNfJAhbFGkmWNxVOEhAmprK_64J-gU_ZAyKN0_nyGhR1hRXfO03t-8EaU4iZHRfOs7se3A,CmRaAAAAxsuD9e13OVY8DWyb_8vmDPI1zle1OWauL2lrRBFZmVWHzVVTfFYxKRenqVk0GTS7khTUGRaFsjatgjiVM-s0t1gst-DlG-lXmNXfJAAOtufpag8NO7uCu2KdYf0qDVavEhAeXcjEZJc1i9SdOv5EUMfUGhTn4fw9TqVQsoGtRFcLhKbmfmfw8w,CmRaAAAA_rg1pWvQQhR4uOtw7Ihi01lhDTq9_YqrIjmUiyiHNkHFVQbQBpwWj-hpcqtT-Qytalak8xe7bFm6YDdZ0TuYOmm5Jm9_dk-09x2CnfCezyqPmhcBenXKNxGAYbLWXw4fEhCk-i8lfO1_PjA6oNJg4-oVGhTr7OsGH9iZcNcRlb6ijT85De6xAw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81005Q,St Aidans Comprehensive School,St Aidan’s Comprehensive School,staidans.ie,Cootehill,Co Cavan,,,"Cootehill, Co Cavan",Cavan,H16CV91,495552161,office@staidans.ie,MISS MARY ANN SMITH,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,255,259,514,ChIJ5wwTwiQdXkgRGlX2tLQ7hNk,54.066793,-7.062664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81006S,Tarbert Comprehensive School,Tarbert Comprehensive School,tarbertcomprehensive.ie,Tarbert,Listowel,Co Kerry,,"Tarbert, Listowel, Co Kerry",Kerry,V31WD66,6836105,admin@tarbertcs.ie,MR. RICHARD PRENDIVILLE,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,272,256,528,ChIJTyoNgLzYWkgRYnEqHXnaMco,52.5739636,-9.3837619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81007U,Shannon Comprehensive School,St Patricks Comprehensive School,stpatrickscomprehensive.ie,Shannon,Co Clare,,,"Shannon, Co Clare",Clare,V14Y434,61361428,info@scnp.ie,MR. MORGAN HEAPHY,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,299,297,596,ChIJlWlXStZBW0gRiLVYWfYb1mA,52.7049505,-8.8796984,CmRaAAAAQAtwsGnMaW2vI-yM1oZFFN8ln_N4LlrMkQRuA4bgba1wj5j7Ajwdk-Nck6OadSrwFGqejFMpjvPgvL3H7fROu8p3pchp1VcQcxwJSw3otdQWg6L_mBV9InRuXZ7ZW0HYEhDguHOrTp8UOGhmsG4IkxeOGhRy0cOvNIVBwGcIhwLiBVIVA-BztA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81008W,Ashton School,Ashton Comprehensive School,ashton.ie,Blackrock Road,Cork,,,"Blackrock Road, Cork",Cork,T12AF50,214966044,ashton@iol.ie,MR. ADRIAN JOHN LANDEN,N,Mixed,Day,No subjects taught through Irish,N,N,CHURCH OF IRELAND,Open,232,286,518,ChIJq60xs7aaREgRsS6Qx-q1QRY,51.8926108,-8.4519672,CmRaAAAAeke8x6KlEy7qA_QYTtSxWJhdVXWHnZKLOzQ0ZFiviWMEGF9VlnmJfMhQCbkyJoCiZDcx2oWmmOFOatz--KzxzV4FNxzRuVApX9Hqlj0yLeMJth3vLxryXEImJH1KJpajEhBVl4A3n4DHSy9V78nT_dp-GhTGVXPEVhTqOTwWvQo-6_zmwlboTA,CmRaAAAAzk883HBjLbnWyff2lnVxgOEu1k8Nv69B9YJFphSfTWHoagTJCAs1lhePjqq3YgljHr5GqGnDIRTuIAxzjMxuJtiNczntgstOiOAkCEFMnbiPtOiJLXpuFbACeWGtbhc7EhCJOKLoiaH6857XYbnRYLcxGhQEwlH_I4g6BPxW2BMrH9gMdDfm3A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81009B,Boherbue Comprehensive School,Boherbue Comprehensive School,boherbuecs.com,Boherbue,Mallow,Co Cork,,"Boherbue, Mallow, Co Cork",Cork,P51TK28,2976032,boherbue1.ias@eircom.net,MRS. MARY O'KEEFFE,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,153,147,300,ChIJL6Zg30LaREgRtlrLkLZaKGA,52.1595794,-9.0622809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81010J,St Columba’s Comprehensive School,St Columbas Comprehensive School,glentiescomp.com,Glenties,Co Donegal,,,"Glenties, Co Donegal",Donegal,F94C421,749551172,admin@glentiescomp.com,MS. FRANCES BONER,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,174,191,365,ChIJXz6sLJALX0gRksaM-OgmKyE,54.7991163,-8.285238,,,,,,Geological Survey of Ireland,Coastal Erosion in South West Donegal (1951-2017),"Chemical, Physical & Mathematical Sciences","Edward Moss, Conor Mc Crossan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81011L,The Royal and Prior School,Royal and Prior School Raphoe Co Donegal,gortnorabbey.ie,Raphoe,Co Donegal,,,"Raphoe, Co Donegal",Donegal,F93T298,749145389,principal@royalandprior.ie,DR. HOWARD TERENCE WELCH,Y,Mixed,Mixed,No subjects taught through Irish,N,N,CHURCH OF IRELAND,Open,301,271,572,ChIJ6czEyovBX0gR-f6026HZ4Cg,54.8760744,-7.5898148,CmRaAAAA0m0T1qIC1oROhftCTuqKqN5eSmGWJTJaPAh69nc4lAJ6qVwNfzaGZ66ZGBBhkLp8719obn8uqH6tXkBwDCN22907m1blyUuihS0KAN8nC9OzC4gBGk_nmOsBmjr3w6P4EhAee0WaNb5vkgSFpXL4s79WGhSoNHPoIpwQ9NW6gOw4Wqz8aH6dww,CmRaAAAAFfBtxwTeN-bbENy8FIOyT99MYHuOxEPb_LjZMJYqcU2DdbAnZxh1l6pDnDdGGhzfbAPOtNuS-XJT-jmdKU2L4xxb5Lk0DrjbqDq3vHnqJNgKWBaHIaTwRBvpsL-aLDiTEhAZ-e0JpuI3z1p7D13nTj8eGhQNAF_G91ySqRSmBN83twU9LSCBDw,CmRaAAAA33gEsPRri0uLykB6Zsuv6mVOQcdkWUNusbpEiHiBziqV5KrQtD5MysYGkjYpIAIhb6Su1s1--mi18mW8yi8vokSlwUeBwOuKpMdYRhDvYhRjwD4ZkxfiHJU2r9_LUg-oEhATyzLE48wpYSlH1KPCn_ESGhRmZeCgnykDvBQ9TaG66DtXjp5cPQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81012N,Scoil Chuimsitheach Chiaráin,Scoil Chuimsitheach Chiaráin,-,An Cheathrú Rua,Co na Gaillimhe,,,"An Cheathrú Rua, Co na Gaillimhe",Galway,H91N267,91595215,scoilcc@eircom.net,MR. SEAN MARTIN MACDONNCHA,Y,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,161,159,320,ChIJ7V0xwapMWkgRXTN2HWoX8Y8,53.2622391,-9.5978179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81013P,St. Clare’s Comprehensive School,Saint Clare’s Comprehensive School,stclarescomprehensive.ie,Manorhamilton,Co. Leitrim,,,"Manorhamilton, Co. Leitrim",Leitrim,F91FY82,719855087,stclares@iol.ie,MR. JOHN T IRWIN,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,235,244,479,ChIJcxW_g8LwXkgRZS1MtoaqXes,54.3019205,-8.1769704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81014R,Crescent College Comprehensive,Crescent College Comprehensive,crescentsj.com,Dooradoyle Rd,Dooradoyle,Limerick,,"Dooradoyle Rd, Dooradoyle, Limerick",Limerick,V94W6W8,61229655,info@crescentsj.com,MS. KARIN FLEMING,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,422,460,882,ChIJZzF1sXpbW0gRV9pXUNrDe1I,52.6365576,-8.6408718,CmRaAAAAfT1N-jErvYo_LmyanUFjtdvTk8fP3NyYcszfbkjacMLYTPgWWg9i8BbGYswPquDBNil7lJergxzlzRJDFKx-S3zDMp4SaaljYKtmzz1NEESJyIgTHVtMNRM1YeNrbe--EhCWL_0XjpDktg-rtu_qwdfvGhQmy-wTsyZFlYkzq9ftpCAf6L2W7A,CmRaAAAATMjLqhfnufIMdLRBPrdvjPDPoyCeDJ9tsEtEWCEjnKs7zUDZmwQM_PSp_SJtWWeBstTozNfFj_5VqHB0lrXt8nVOaeZCxrbYC850uhz8NnV-MezKAvqhkBwxG9L0wDEHEhA6qbJeK34bYt_meNrg99v5GhTlnC8UKpZ8OV1ChagXYv1mYwFemA,CmRaAAAAvpjy5Nzew_gJnrYhljbZvb6WSwikIHEPeoanEPya0Ptfb4Lt7cK_7ZcX36QiKqy9y1IICk6NI9P9YU9Tp_YP_1CM6Rop5vgAocpmy01VmZWxs60MO1k4P7kYPZ-3lAuDEhB1PwOA1xfgmCoAVSzS3Et0GhRl7ERNvmJ__M0bSq2pr5i4G447bg,CmRaAAAAaEAsPb_rAJaj-In0PrDlAD7WR9Jha_4cYKhcpym3rxdACKYwEOZioq4oA-xMH2AX6tX-6pT_Hwy4rHDYTXT5fXGvcU5FS4UfSFJyyL5Snhs8GOkWtt_LqGlIGFzarl7mEhAdC9Qkt53qNZ69-Plo7cdfGhQ-icmnZbcvsA16jXYmWEdHHpggLQ,CmRaAAAA3v5o4TYFqgygu29tAyYXc_4jfxysfAcIU20j7z5BcNlTtS4knMmHKO2fUhMu7Dq76xfZGjQoSEJfZgRYENQinxQA3e-2497k0hDUa8Z95S6JqN0ARKGx0FB1vMTG-yUEEhA-CENvfd9KU4wUE9dNNaqeGhT0gsJch0o1eBN8o64Rbjdj6zhuIw,1st place Senior group of The Science at Trinity Global Challenges Award,Asking the Future about the Present – The Statistics of Cognitive Conflict in Relation to Refugees in Ireland.,Social and Behavioural Sciences,"Thomas Gomes, Donnacha Henchy, Jack Murtagh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81016V,East Glendalough School,East Glendalough School,egs.ie,Station Road,Wicklow Town,,,"Station Road, Wicklow Town",Wicklow,A67PC52,40469608,eastglendalough@eircom.net,MR. CRAIG PETRIE,N,Mixed,Day,No subjects taught through Irish,N,N,CHURCH OF IRELAND,Open,177,190,367,ChIJfY73A7ewZ0gRolQr0Eh69ak,52.9873192,-6.0544475,CmRaAAAAlElrvLy3L778Cg5U3ByF3f6fPXO73GfpvGVYwVdi9JY_sfmqS-ww__CCkcQyLHOGIsO9wm2USjY8ccLrywVaSqkdjWfmdWsrIPtBtC2gKtGFofevXFLE3G1EkyH-1iMnEhASG_i-U94POqD2W1ySFJo6GhQji-6Kz062qrbHKkHYw6iBAQ9glg,,,,,Analog Best Technology Project,River-Nanny – Analysis and Monitoring River Ecosystems – Balancing Drinking Water Use with Natural Environment in a Changing Climate,Technology,Donovan Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
81017A,TRINITY COMPREHENSIVE SCHOOL,Trinity Comprehensive School,trinitycomp.ie,BALLYMUN ROAD,DUBLIN 9,,,"BALLYMUN ROAD, DUBLIN 9",Dublin,D09TN22,18428356,info@trinitycomp.ie,MS. FRANCES L NEARY,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,222,302,524,ChIJCepnExsOZ0gRpP7AwBJWD2Y,53.3926826,-6.2627805,CmRZAAAAGaE-6ntO0wvohuN_4-BsUKO3Qqg2KQlE2ULOBYEh4wOqTIKo2jEWDxlYO86gAW-Puzth8oCYvjci8MFyx-Oou1MVpRKzf4Gtr-xeBwPh_mULdUADJLhhZnf6FOrI90mgEhBJ8qcOgxyZ83Aw2u99q9MDGhQHA7u7XFjnh7j2NfijIG1kBZBh8g,CmRaAAAAPylR3EZPVe1eHGQL5o2FdP8RvzlFcEMaw3wj5en7gJlQLPeUpl0YMzfLcQ5ReiupsVXwJsMVhimzmZBrgG_xe0QUGX-MASKXX7g3tobZXemI8lXVu7ce0QOixJfgsDHzEhARYCa3zdBYKO8aSJIkl16tGhRYTIhclOLMrpvAk_tErlVCIHSvDA,CmRZAAAA-1NSirOIbruWMzHQLgw2kpc2Ct0ugTdqMtF0yYZVa2hFfgv-8C6ba9Bo9cAKcC0EPj1ykimAW2DUO6ChFSiMo5pcSB5zHWJma64TzCKG_tAhy0zRwvEtXJl2Um2FbWXFEhBvBWusE6PzSUL8Pi2O8D5rGhQONuc4TDxXD5bQMuOqIsztSvxvgA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
91301D,Holy Family Community School,Holy Family Community School,hfcs.ie,Kilteel Road,Rathcoole,Co Dublin ,,"Kilteel Road, Rathcoole, Co Dublin",Dublin,D24FT54,14580766,info@hfcs.ie,MISS BRENDA KELLY,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,449,507,956,ChIJiUJETZ52Z0gR9TNtEEFE4w8,53.2768213,-6.4800147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
91302F,Phobailscoil Iosolde,Palmerstown,palmerstowncs.ie,Palmerstown,Dublin 20,,,"Palmerstown, Dublin 20",Dublin,D20P236,16265991,lorraineotoole@palmerstowncs.ie,MS. LORRAINE O'TOOLE,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,322,415,737,ChIJg81qgioNZ0gREni7GajHACY,53.3566137,-6.3714808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
91305L,Ballinteer Community School,Ballinteer Community School,ballinteercs.ie,Ballinteer,Dublin 16,,,"Ballinteer, Dublin 16",Dublin,D16XF79,12988195,admin@ballinteercs.ie,MR. DAVID O'CONNELL,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,182,238,420,ChIJ10vB4dkLZ0gRBcPziDuiG0w,53.2809472,-6.2606587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
91310E,Cabinteely Community School,Cabinteely Community School,cabinteelycs.ie,Cabinteely,Dublin 18,,,"Cabinteely, Dublin 18",Dublin,D18VH73,12852137,office@cabinteelycs.ie,MISS O M BRETT,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,206,289,495,ChIJ6c9fHnEIZ0gR9GS-i7lijGE,53.2629817,-6.1465394,CmRaAAAAudj3LBvmkoCzOKPrB2msDIzwGTwc8tgJBuHSxIpgF05GlUaJTHT1daLIhnbwYOs6WQKD4JGEHrMXD3zI241ZHQWrHeNVcV3umvmzo4tkVjwj7vYHq7MQGoV23vHvJP2WEhD4vXlwJ9cMSGFrqfy1D5bMGhSto6AJx8AWsr24P62tN4wCmr13sA,CmRaAAAA2Xx_uaXoVbYMIMTsS_9C4xQyRdi8YB6Ci7a7v28mqMbq2Gw9OURMxgzjqBGKBBYy9tniWGr08ZwRdozdGwQ0fEik8swZ7wrO-wR4XsQS74IgieUmVj6jV5srSLKoKq7qEhC_s02yIf57_nRBzyNFnQrPGhT2y_NJ8MqyRbvzH4FwYbaR1Hxewg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
