,Roll Number,Official School Name,website,Address 1,Address 2,Address 3,Address 4,County,Eircode,Phone,Email,Principal Name,DEIS (Y/N),School Gender - Post Primary,Pupil Attendance Type,Irish Classification - Post Primary,Gaeltacht Area Location (Y/N),Fee Paying School (Y/N),Ethos/Religion,Open/Closed Status,Total Girls,Total Boys,Total Pupils,Photo Reference 1,Photo Reference 2,Photo Reference 3,Photo Reference 4,Photo Reference 5,Photo Reference 6,Photo Reference 7,7,Photo Reference 9,Photo Reference 10,Photo Reference 11,Photo Reference 12,Photo Reference 13,Photo Reference 14,Photo Reference 15,Photo Reference 16,Photo Reference 17,Photo Reference 18,Photo Reference 19,Photo Reference 20
396,70560K,Gaelcholáiste Chiarraí,http://www.gcchiarrai.ie/,Tobar Mhaigh Dor,Trá Lí,Co Chiarraí,,Kerry,V92N763,667121650.0,eolas@gcchiarrai.ie,Austin Ó Seachnasaigh,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,171,178,349,CmRaAAAADtYOxhXhYu2oyypaBUHPF2YQHk1b_6hvQin8w3DS_g4lEzMFKua1o2nQjSXbXrpqtm_I6Iu8Tv_K1844kUFvtOyzQAFWDBseCH8V68rTJEuwJmyz5IO2Xy_0wBKSZ1LPEhD8RdufzGuOWZIKchLXxkGmGhT0MOPbIUY29Sv4Bq925qiwAeeHgQ,,,,,,,,,,,,,,,,,,,
397,76068N,Coláiste na Sceilge,http://colaistenasceilge.ie/,Caherciveen,Co. Kerry,,,Kerry,V23Y003,669473335.0,info@colaistenasceilge.ie,John O'Connor,N,Mixed,Day,Some pupils taught all subjects through Irish,N,N,INTER DENOMINATIONAL,Open,221,250,471,CmRaAAAAW6hBZCer7wEPutZH9mFZnlHe3TcUggojGUdukT-PHyQY1xBuLvVOqvgjHvaeGx252_J9AZuDOogd_tDntg5R84CpEk8Wci4StaKdY-Wvc49d3dS3b1zqZIjh35w8QjKAEhC2KxTVHAo6lX9NzTTdDKcvGhQ_3BogW_vAwJivShhancXTGzxBTA,CmRaAAAAYRMnu5gcrKadFgtx5j0gIEKN-EygmCzlUr3QDWf36B5MXjqfsLnoqVYcepy_M7O4Fa8h6AIqaIz6NnC9IQ5xFxASrHvxo5yqRQ3Z0ovRzB2lcV4y6hpVk5s-u__lw3PoEhD76oULH6EXC0UzgDr-JiCgGhS3jbFNpUj1KcQrwvsciIuv2CkSMQ,CmRaAAAALZDeUujuGz-03_z_0eHIVZWm9KMlJDavM9VTk-R58VCooTtRjBK7Be2fO2Q5WKIuDErpO7jfVg1g4CMoiLnj4yPVVGD2TDTDbHj9NiF7mWNg5RHPFHffqA-hN7GYRUXYEhD9dAdmkd5p62eUWupe8ja7GhRgN_O8k6ee0WbOR9UQXTH4Nnh2jw,CmRaAAAAkFip6khudaRBL7M91DZgAHiw2QxeVCOmKv40yW4bAFBaSERJ0xq7Ot8kfMAYrKqyQ2qFE8kUDN-4xL48eEozpfnGy9QJ0WtAoizESJ1zIjPYEUxqHc6W2ZY24-0kFiIdEhCmpg8-I5HqcttX4mlJaDhiGhT2oDnnK8qz8lPdMhBY2q4AubYZbw,CmRaAAAAzr9iMTZ5j93ukIRLuuga4FLPD9DGVp90CpcvShB4OUHa2nNfIFXT0JxHIM35mUSHuCjEiqgbmXPKRvTr3c2XEgW2J-zam2A_0CGZQ-QuLxSt5cCMnIBCtD7m3cT2bRfYEhCaTciGCPEcSTSHDPrQNwfFGhR9KQQuNXlzsLuFASH-_vHjQoTwJQ,CmRaAAAAKdEEWFSvJtv5BeWgqinoW168yadbzZQTT-_OE0dHyJX3T28qCFmPKOiaVS9drlH9BNYHnw9poQxcXl2DKWo6eNcyL16PWiPxow3aR21p3vsI6gu5tecxT8sOunZa_YddEhCHAcWdCz-2u1ofOs4pN51vGhS4P6cFj0g1FPD9itnQKm7GkUKgBg,CmRaAAAAXBmm0EpeY6xn5hENMIc60RZQSGqdl7BcExfVcm9ul__vb_UaJYpq-lZ2HR6QmXGqfJsB381diysSUT2bbANT3d9arLMMNQPE6RbqQe1eJxu5NVQcZf0nywN7pJOUWevlEhCMDD7NyhL3q7JRngLXcQlyGhTKll_WC-XBKTXrD41WDnigUE9X1g,,,,,,,,,,,,,
398,81006S,Tarbert Comprehensive School,http://www.tarbertcomprehensive.ie/,Tarbert,Listowel,Co Kerry,,Kerry,V31WD66,6836105.0,admin@tarbertcs.ie,MR. RICHARD PRENDIVILLE,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,272,256,528,,,,,,,,,,,,,,,,,,,,
399,91503P,Pobalscoil Inbhear Sceine,https://www.kenmarecs.com/,Kenmare,Co. Kerry,,,Kerry,V93K580,646640846.0,info@kenmarecs.com,MR. DERMOT JOHN HEALY,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,232,248,480,,,,,,,,,,,,,,,,,,,,
400,91504R,Scoil Phobail Sliabh Luachra,http://www.spslrathmore.ie/,Rathmore,Co. Kerry,,,Kerry,P51PR53,647758135.0,rathmorecs@eircom.net,MR. DENIS KERINS,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,187,195,382,CmRaAAAA9byVUm91ze_8TkLa8GMSz1yooYEJa2loxMu6hPJ0QsbkMonDqgmj4Y1GtboqYwzXwW1M_AZrPGCK2jbJhkOnx165B5MNJKtocNyX7tqLbx7qfT4svheqQmqWPq8AnZvvEhASWU4aHUaPwa0AXITcdSfeGhTbDZZYKx4hcr8isbtpZutQJW9vzA,CmRaAAAAoIeqtH9QJAeiJ_TEyxkNCaj46VhysCLu-bvleozQ_whtgtmpRjrJeuodM052LTPHLEe5mb4E2jrNpxODKu_73YxSxspl-pYz8UUHfFblxWl1spWmJV8H0dWGnDrSu_wrEhC9bKcvdz9Gy-OWdGcg1LvOGhQqbc9kpZ2XBgYsqRKF_z1W51pwNA,CmRaAAAAQR6r9FxfjaeWLZ5HgjhRduPhc_cXl0xYa2S14oscHFj3NFp23KGc2fvKFoOszz3SRdEIxifFad0m6JGclCuML64OVS9B4m278nVamdQRaCl5McxkmarBYK26dmYu4ZX6EhAK26oTFyJrY2QBaO8kV6k4GhTZsrXzXZnpWoSgzGmk-PQl5UQg1Q,CmRaAAAAwzS3JUeAdMjHc0Yk67kQOU9VgbNPcU3L13MRjny46QQaq2Kue_9Jh678mGFDJ8HyB65Q8l86VgGHe0vaxRr6giOFGOI_RfczGoxZOsMKgg8LtSIgh3btPWQRYiU8pH1gEhDdPCx9GEh_rJxWn2Q9bEcSGhSoL-jGHZ1v7c-CyIty-z7fPyaxXw,CmRaAAAAxSpYURojOSlfktvhlZyGu_uYz47u12g8El_LMbWLBFHI4SB9ToJUwtezYEpa5elGttHW5a5gsgCzhEZI7gq6PmCnQM3dDKM_wLC0X-G4z3tAKP6iiLbKfApovSXuaoPFEhAkei34moh58FmsPAHk3GFwGhRY7Ois4hUTxLSLV7dixdYDqgJuLQ,CmRaAAAArd_fWtWL5UNKFtkJqCoJ-qHkRvymYGywvye3fPtfch8wGEiYKi4s4sKS6z-Sc_VOv_8qCK9IFeDEzFjd88dsWG203UOuD_-aTJsX4vcxZYsgtoteSn2Ov4QNZdduVuycEhBLiYsGRuqgROHQ27po7P8sGhSInoLJhlHA2ZxUGNDqr_OqsJPYlA,CmRaAAAAYc-BE-wvq1B8DBdHDKvESKzRUfe1wI3OAWjGQlJp9oQQkJvcrfsl9nUGJHtlTpFSizVfl7E51MXOPaWVC823spGYBFd_dcWMnUJYP-wIPUaXrpoLkXCFoNiFckwloU1hEhCXhoryNrSVMn3AvFgHBFRXGhQnxzWlCg-AsMlE8f4cR1gsj72-pA,CmRaAAAAV1e-bFVNwgPAaCOQ6BRMGKO7XEfAi7tqMbI2_WNZpDZhz6LRkw3E6LoRsNa5mWFPvuuuoIXVFXK77MG4YUF6S-9I3Oc1M5P4_ppEv_0-PCJOprPRde5W-0D248MGSfW5EhBAqsp4jT9Q2J8FDLPilCT-GhSRZZLSBnn6JLQCyZ41FXZPrW9FbA,CmRaAAAAyRy_H9n43QUe8ltnu_wQxPHQxdfDUWETH1sesSBxS_t_QzDSEij4ezIpyt7iv5j7TZBoCzM81MDspy5FOb_F-KAmhbwuVMxiDkY5hI0ZA567tLBuPSrgawBQZWZi1uIoEhAj47y8aOKmaf3Rx5GMt99UGhTUA9jqpiyErThYKYUjt_cEEiD0fQ,CmRaAAAAGPVn6yibUcxuc5fcbOqqurGpUwnhUkugXKfNYm2y-qoVLzNxa2xbO9C1ENmoKCeITMju4gGoYZF7BKSWY1Vo8Os_KgjrbzHd846UIdOelNP2EiDAdwRamRMDxcHo4SdxEhBDB-SFnhGXL8p0U07IP6POGhSj46X98RMUp1ulr3iw06dJ_hfDCQ,,,,,,,,,,
401,91511O,Pobalscoil Chorca Dhuibhne,http://pcd07.ie/,An Grobh,An Daingean,Co. Chiarraí,,Kerry,V92DR04,669150055.0,pcd07@eircom.net,UAS. PADRAIG FIRTEAR,N,Mixed,Day,All pupils taught all subjects through Irish,Y,N,INTER DENOMINATIONAL,Open,176,194,370,,,,,,,,,,,,,,,,,,,,
402,61661P,Salesian College,http://www.salesianscelbridge.com/,Celbridge,Co. Kildare,,,Kildare,W23W0XK,16272166.0,salesianscelbridge1@eircom.net,MS. BRENDA KEARNS,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,705,705,,,,,,,,,,,,,,,,,,,,
403,61680T,Newbridge College,http://www.newbridge-college.ie/,Newbridge,Co. Kildare,,,Kildare,W12C241,45487200.0,info@newbridge-college.ie,MR. PATRICK O'BRIEN,N,Mixed,Day,No subjects taught through Irish,N,Y,CATHOLIC,Open,438,444,882,,,,,,,,,,,,,,,,,,,,
404,61681V,Patrician Secondary School,http://www.patriciansecondary.com/,Newbridge,Co Kildare,,,Kildare,W12XV38,45432410.0,patriciansecondary@me.com,MR. PATRICK O'LEARY,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,888,888,CmRaAAAAGV8OyAR-uYsm2Oekzs2vQs1iuy-jdZSex_gkbz91LxWA7gyLRomlgGHxusIyqZra_QKHVS6wU54f4EysU1oPwkwqImYdE2dW3nyq92wtSxi4EMZF-8fUlJd2TFrvrm1REhATK3WQFZFyGnBPzRDhzyEyGhSmhjLHQfZw8eFxVwduFcykNQHEOg,CmRaAAAAQWpcKCVJQfOo95XjesXg1Gfb6ruew6mOEOgwvBLJz3QrdRcfEObFj2g3erZ18HJVtOnu3Ff0vvjSmVMYkLdJ-tuRBk7lreavSeqr4qcZYyXMMYZfvEkra2_6bVdQD8WIEhCt72RtUQR6yYyz3StHLK1gGhTpb5ckae7W8ncPcfpOrssw0MSbqw,CmRaAAAAJZPk7J2cL4fF_Heyioj4CIJzj4XoAlKStookQcSU-WfLPtt5Uive0P-S6A3Cmx62rxvyShQ9HA2KzNMzRyrRm2ZQJEqKQm_DSmM0Aed8LSwb4RtydtPauEbZFfJLtANJEhBRBFsWhp9qbx1YYzn7xt5tGhTstIGAlFxv1ptaj0uVGg8A8hkMhg,CmRaAAAARqKp3mOakcmbr7vExMM0gTTNUUdWXq-u5NaBN46UDWLGcQ0T5MaLFoydawmVYMZeXhYX69iuv9isVv6Dw415lx9rrRylKtHCW4Zog6xTfy0PwYKI10XwrZdXnUTaKyG3EhDHbLdyd7WM8hZfuBCn93ZVGhRsfMl5OegL3i0J2N5PuQ_-xG06yA,CmRaAAAAe-3A3LvQ85WiaJlQ_6GAwj7ouDzaBttMD7cFAEFO-NA0somERx-wltGwd5fcp_IxoiPQgXSVGsf3UUugnch81DBzPO85mrfjx3_0ginPt5j97mRJw9zD6Tm2_fsf6LQyEhAhyP-ktiEChhH7KU4Mfjq4GhQcvAOc9OXwhxg4JoAdR8Uh0jh1Xw,CmRaAAAA9QNheOhDwvosSIfUEB6_c7SZbx19oVaHxK7-ZJO7KIt35NaGW7243oQw7AuaHpueTKrUqNmwMcDRso7QR1PUqI-YftvNYxt_-LZpyGcBMIrEZw3ujucQnUPpRrF6eI_2EhC9nck1a4bNaf0JPumWH2o7GhRsb5swpOSl2OcfBGib2_RyYjvclQ,CmRaAAAATUumDjNCkCGGcOyLf1JBgE-j62TpvYSHFYE32yEMAMWgQ-drbHbSdNVHPqV3m156IXM5o8_z1yx5UjBTWl4tT05-G5zw7gsxgtPIQdNwo1jXarxQDpD2j79jr21Gz6BLEhB-YCGJJ_a8IESxgAZmDkReGhTmPgXUVHQOAZp0-LO4IIaqotdxeQ,CmRaAAAAFPUcRkmeSY1RsMxI3Y6WYrCB888pH_ayEV9iTlgL9CRE1RdhnxrzhnLk-ZGJCKzPQ6M6zjuOw5npPC71HR20Ha56gGfaB31wV6m1yhlRNcIc0u917-3cUQC96IswfSzgEhDPgu5ASEutiqZ73Q9U7t0NGhQGy6IIflQkvAR3-WEfKcBgL7xC0A,CmRaAAAAu88kxH50WR9jjNXIs8mY_9xs-tQuZ8rs-T7gKqq5a6ES3tHavLyGpWM3YfIloZ4ERpPZC55Tm9hLckTAavqzcuKK7NlUNcuh3CNxBddHDXUm55iYtBuaRho_NcAsKuY1EhCsi9jCG809rvmqVAd94qKFGhRJ9YuV8Z1K0ZvZu82UKDeeE81YQA,CmRaAAAA1zBYwGUsfeFEBLy2tpaEWMhjzrcVY8cxgTvuymdCHDeF3aWFFnVvsO7xJM0GKbEyyQwON-iwR6ikfZHXT2vhpGdEx3SwoLVVCA-SCklgMCYPyn5CBuckPwc-zE8kLF-fEhBm1K735tM4K1Ztf2_pafohGhR_AFk4-nTjW3QSbv0JrBIBZIrz9A,,,,,,,,,,
405,61682A,Holy Family Secondary School,http://www.holyfamily.ie/,Newbridge,Co. Kildare,,,Kildare,W12YD71,45431957.0,principal@holyfamily.ie,MRS. ANGELA RYAN,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,713,,713,CmRaAAAACzGDzPrFrvQ_-Dw-jmYQFuKFOCXrXV4JziDB3kixRDXg67ZEWjmnZwXCf0x6TpkJzE6Qkm_n-50UwmhSpdLW7hRlKzfcdwaw_6DieYrXaBORrW0K7rAVpmUtOkVD_ZnQEhA9zz4qPRxw33WR9cWxOHVSGhR6P-mJj3VQOBkHCdVku4Z4J5p9vg,CmRaAAAAUx5kRjzojRZ2s5IzbbtgIKv18MNypv9eL7ZcH7i1w5EV1mK2iqGzhxPEkNWTpjCJAu0UBVwDE0RuTOVZx5WWIU8d3As_NX6j8nF-MWYzY0Y0XNDaEQSBpQWK2ki4XrnTEhCj9ogxOckYvtHTKzVymTUhGhTAvMIsb4iJoukmJX9uU0RwKMr4DA,CmRaAAAAR_ou41z8Gaw4GBMY-h8DocISEm1DCddTSCntSmJO5azgs1JBwfEIelQ2OhyIirokRVwlEpMaaVofyUoXg1mU7ENTlMP3YDZB5zNFHdv7PTGQXfjRZGGpJGk-GYQbKrozEhDt79u188kka1N4dBQNe1GwGhTr9Rz48O2oBflpiV5tQNXOx5xy6Q,CmRaAAAA1qyCUO_UQFddFsWkyTYRR8JtAiBTdc8qte17iSTIjOxW4dML9vutNMUI_u0eY-HpTABGMz3Y7YXKx3ei4h-3BfdHquyStQNBg8Le32ooLJ5RyDKRvQ-A_8LZX4BzJX2JEhBzvhGFX-Xvifs-5vOo555XGhQX4Paw1W1ctp296ED1PXfUOEPzvg,,,,,,,,,,,,,,,,
406,61690W,Cross And Passion College,http://www.cpckilcullen.com/,Kilcullen,Co Kildare,,,Kildare,R56E673,45481524.0,cpc.ias@eircom.net,MS. CATHERINE ANN MOYNIHAN,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,405,387,792,CmRaAAAAVR-5AnHyqWE3Ol95M1uEFd9xeQ_VoPRjPhFoSzmGr0fScPQZZDehoi37LDmUtuNs8BVvvH6bnOD54I9vy5a4TUezkwt-WS4cJGQX8IboDejeZlwIMqZRVJXJLDoBPPK6EhC4E4oolgLp3pbw5yFqYYe3GhSFqx5t112qAe-Mh6zjZchIxemCpw,,,,,,,,,,,,,,,,,,,
407,61691B,Scoil Dara,http://www.scoildara.ie/,Church St,Kilcock,Co Kildare,,Kildare,W23WT26,16287258.0,scoildara@eircom.net,MR. DAVID MCCORMACK,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,413,429,842,,,,,,,,,,,,,,,,,,,,
408,61702D,St Pauls Secondary School,http://stpaulsg.ie/,Monasterevin,Co Kildare,,,Kildare,W34VX09,45525601.0,admin@stpaulsmonasterevin.ie,MR. BRIAN BERGIN,Y,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,195,222,417,CmRaAAAAl7n8EHnCKjL0I5TxGb1Smzhn8UMUXK6CEi_kKhHIY1Qw1tjE-DKGS3PvK4WWxt6UkHBHhZao5h2YS0OzFSblLkpta8qGVFrUusEM2cvBlDXoom1FFLj89wBBIZ1YSv7eEhAdQFjVq0An4SNiIaTpxoaVGhTCPmvCtPixzT5qh-OJg79RrzXmPw,CmRZAAAAWYqvnjBOIOOE4R4JeIUC5aevYAffuTH5_A8ZUFY4dBNSlL08dv1-1kfVuEet4ycMY8JL5jPioTh2f9jZZxFFn5vE0Q8GYvwXXBeQLwvqUScPgr6V_aDWwg4LU1IdybzlEhDVRew8tTuzvmbubgLe19aKGhQTbqewEdSPrALLKck2BiHqKPsvWw,CmRaAAAAuztmo8XabiziR9XTvvF0vAWhu7cUoDu15MNjlyZ9E1YEK8-NJcSTWsVCNNa6xkXwyv4HTxuLZBokATlBfmyrz79zbu8I-06k1xrk9rDQkrZt50vQme16fmnWCG9bDd2LEhB45fU0koCUk-6HGCmNYDzNGhRDuBYcXM24H_PIaeD4_kdwtdmHuw,,,,,,,,,,,,,,,,,
409,61710C,Meánscoil Iognáid Ris,http://naascbs.ie/,Naas,Co Kildare,,,Kildare,W91VF9H,45866402.0,admin@naascbs.ie,MR. BERNARD JAMES TRAVERS,N,Boys,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,,"1,000","1,000",CmRaAAAAl7n8EHnCKjL0I5TxGb1Smzhn8UMUXK6CEi_kKhHIY1Qw1tjE-DKGS3PvK4WWxt6UkHBHhZao5h2YS0OzFSblLkpta8qGVFrUusEM2cvBlDXoom1FFLj89wBBIZ1YSv7eEhAdQFjVq0An4SNiIaTpxoaVGhTCPmvCtPixzT5qh-OJg79RrzXmPw,CmRZAAAAWYqvnjBOIOOE4R4JeIUC5aevYAffuTH5_A8ZUFY4dBNSlL08dv1-1kfVuEet4ycMY8JL5jPioTh2f9jZZxFFn5vE0Q8GYvwXXBeQLwvqUScPgr6V_aDWwg4LU1IdybzlEhDVRew8tTuzvmbubgLe19aKGhQTbqewEdSPrALLKck2BiHqKPsvWw,CmRaAAAAuztmo8XabiziR9XTvvF0vAWhu7cUoDu15MNjlyZ9E1YEK8-NJcSTWsVCNNa6xkXwyv4HTxuLZBokATlBfmyrz79zbu8I-06k1xrk9rDQkrZt50vQme16fmnWCG9bDd2LEhB45fU0koCUk-6HGCmNYDzNGhRDuBYcXM24H_PIaeD4_kdwtdmHuw,,,,,,,,,,,,,,,,,
410,61720F,Clongowes Wood College,https://clongowes.net/,Clane,Co Kildare,,,Kildare,W91DN40,45868202.0,secretary@clongowes.net,MR. CHRISTOPHER JOHN LUMB,N,Boys,Boarding,No subjects taught through Irish,N,Y,CATHOLIC,Open,,445,445,CmRaAAAAjkFpF2DNWuVu_0nydxounNJrt69DkWhf1vsFn3DpsaPHjCI3OniI3fip-_aq6YbqYRzQN-CTLmD2LY3K6RTCiEunQItAZuVM7cHm5haYhgSSAsw6EhD66nxOLAV3KQQbEhC1hoLAAuDAUkPEQbvYDL4OGhS0T2Fh6BcFzChuXIggjzKdsJ_fzw,CmRaAAAAa4Qkesxudl-lEH4sK3YH-ziAK_o5nBsSCpy5pTwJ3HVGS_qenIJ80nWlwWG0bSUkq1NR_Qx8jviLUDnxTL3uf5kjrgRQr88H9x1T_nU8RdDcPDaHSmHxfQmWeoy01Wd-EhADaOS4aRGehxInJqwbSnJ-GhRZqbfCEQFw-bFT12kXUWsV12DZIA,CmRaAAAACaCro1P6q8httjaxLN-wmn8kxJ3WlTRqrXMv1pLAx2QXLL1TfXJZ2zdd82PXX1w2NuZHVxhvqqC9EcOqIu3Sio5m83_k3jH__vbHtLE2jcRCoGBA-aQJB3YmY7_J3AteEhATjh_9AjhaSHIYaTe68pn9GhRwqK083xMeN0YgpkQBAdUtQu518w,CmRaAAAAmPzky08E0enmRUCaFEA3JSZlN_h4UiNRSW0QtfVTRVfQYV6Xpvg-ExKlgAUYhu1HkPRhcYx6uzO7g8lebXeOhh59efJFr8KIC1i0fEHs8pFzLNoTeJPdG9jeWV06m7H2EhBSnqxQHUs9feaNVaam7-v9GhT4kxWn1gldC4r75MD92Gwow2LrPA,CmRaAAAA0dt4nyP4_Y5z_jfUyjSqa6MH-uWEFY35K2WWdRc7dCSFAV_eGgpst9yrs4AYEAuYn1lu1DQhL8JAVhGUIIEB-yse7H_XlOhtU2r8lDvDOlmvSXjg-ddMrwPfAhjYemZ4EhALgDl-AvrBC7LkLzWmpwqeGhQM0b4Gt18Xd6_2jYRF3Ge0fkzGJw,CmRaAAAA6Jm5epovBNrl-LXe7Q62YhogmxY6uRhBRR6CagCUm9BSEpJ55fPsLzPGAcZfedaKObT6PbKRrJI1z0g2SaRgah7px1JcdCxbsuzkL7xls3N0mpRpzUx1OckEgziT0T5fEhCfvED4uQm_y3kD1dj_ZqhOGhSzsVMlNL7pFwGio_l_PBYohFgzDg,CmRaAAAANG585uujdMcak3nIvnoub52UQQGj6_baAiBWAGIg3t-4ikmcXXtCHGxkdOpgi8HwPV2aJAQ24sg1ZAPkGEKYAE_ko3BeZquSe5My-Pe1B1NLXzmH43iC3UcpJxGKW39tEhA2QtT7A4bePJYGa2t95pKrGhTStlJJgezAcoJ163K3pE4QjH7VNg,CmRaAAAA5TAwUKa8kBZdAb1Dd4lPSfa3wbY39H67w3yuh9ex2HC5LdbGVYiee2s0sl4_6Hp40lEJYWv9zsLrnTbsW0a6pMRhFWiePKejLb6x4_ADH7JSdiARU5pRml9YC_Myvj_QEhCV1gKn-4yU2BAxwUZyDtIfGhR0Rc3JllN1Y0PqbBgjDD9V78tnqA,CmRaAAAAaZsMB3hlssPtMnghZ4Y-bz9TCacdOGGrblqeJ9tg36emUdBEPtAHsZX7ri_RNv47UvMbXWj2RqgOsuBwuWEq2ksjyKe9TB8qmV5EAMT6kdB2mga4DG94R9HYYgXuj9hJEhCY0cS8KH2rhoOKA6AFuXXYGhQnFFGi825OvKUB7PZfS0VvxlVF2Q,CmRaAAAAqYfEO9Z70oA4Z553NIGhxXJVOaoBi_9Y3QluqTJQCsQQNYVduqqoj5kk4vZ8cojUBb5AeYQc5ey0Ny6ZACWeQnQxsDZs_IFCbz_ROnzF_M8yVOvL4qyssVQshovQkpN5EhAoIDCGvXgrIWvPX6dap0F4GhTyZpAcnIg4u-qlgZnJ-SdN0ppA4w,CmRaAAAAcmve7zxL_5Km3_SW9GlFcEovBdNv20Eq7a4ic7zxCRM-FiKalS6kG--a8pyI1wmJR5Zb3sZf2Im9LlTtcijet3WyMm25bwel4_40Ju70CmiuVFpOt_wCzdjQfsgwz3E3EhCBNXxPtPu09MFmTFLdig0uGhTEWgOpdutuxoJ_IpC7z0Jn0h878Q,,,,,,,,,
411,61730I,Coláiste Naomh Mhuire,http://www.stmaryscollegenaas.ie/,Convent Of Mercy,Sallins Rd.,Naas,Co Kildare,Kildare,W91VW90,45879634.0,office@smcn.ie,MS. RITA MCCABE,N,Girls,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,"1,034",,"1,034",CmRaAAAAuNhOSPR4x4ng303WihMPIlAHH4PCqCzrA-AmWlHt2MTlU69pEvksXqEJW_eZQE-oEEdYakkxc_cXeOnS9Jujm7K38CbTqULyLX4cq-tTRjXvoSae32E-BLQWsbean9XTEhDO1WeaqMidKqlSmfKnexeTGhSd1_-u1dJ1l4knrsTQYAjXdvAyXg,CmRaAAAAhQwjcERx8kai7R3nPw_XjHd2My6AQxZ86_m8uQ1lcRa6FVxWOJGOwfgJTpMR4z7JuXBX425qx1H4_qrLl7rxLDyf0iRc21pwZ-Y7qeWmRirqqpyn6kpSzc9OZiqf6s8wEhBQ1tE1oP6hyHkq_oKTRsfPGhTOOtL4TAtH2N8RiZk3OQzPSDsaVA,CmRaAAAA7S1h7FQ7KDwjIh-faXayOh1nDwjTjUPSXbjH6LTvrDvzmzKVwWhvIIafATO-VV2CW1BTJ4FmR-KhyZ-4UJDCkXGsP0BKFdOfCDyWx66MBgRz2W0vaBl_1mF2psCIUd47EhCmuvh4CdzOJR3hSGkwqXtIGhTsVppSGPltYWsDbQo03JcCCwiZ6g,,,,,,,,,,,,,,,,,
412,68072I,GAEL CHOLAISTE CHILL DARA,http://www.gccd.ie/,Seanbhóthar Luimnigh,Nás na Ríogh,,CONTAE CHILL DARA,Kildare,W91E282,45898294.0,eolas@gccd.ie,AMANDA DIVER,N,Mixed,Day,All pupils taught all subjects through Irish,N,N,CATHOLIC,Open,204,139,343,CmRaAAAAl7n8EHnCKjL0I5TxGb1Smzhn8UMUXK6CEi_kKhHIY1Qw1tjE-DKGS3PvK4WWxt6UkHBHhZao5h2YS0OzFSblLkpta8qGVFrUusEM2cvBlDXoom1FFLj89wBBIZ1YSv7eEhAdQFjVq0An4SNiIaTpxoaVGhTCPmvCtPixzT5qh-OJg79RrzXmPw,CmRZAAAAWYqvnjBOIOOE4R4JeIUC5aevYAffuTH5_A8ZUFY4dBNSlL08dv1-1kfVuEet4ycMY8JL5jPioTh2f9jZZxFFn5vE0Q8GYvwXXBeQLwvqUScPgr6V_aDWwg4LU1IdybzlEhDVRew8tTuzvmbubgLe19aKGhQTbqewEdSPrALLKck2BiHqKPsvWw,CmRaAAAAuztmo8XabiziR9XTvvF0vAWhu7cUoDu15MNjlyZ9E1YEK8-NJcSTWsVCNNa6xkXwyv4HTxuLZBokATlBfmyrz79zbu8I-06k1xrk9rDQkrZt50vQme16fmnWCG9bDd2LEhB45fU0koCUk-6HGCmNYDzNGhRDuBYcXM24H_PIaeD4_kdwtdmHuw,,,,,,,,,,,,,,,,,
413,68077S,Árdscoil na Trionóide,http://www.ardscoil.ie/,Rathstewart,Athy,Co Kildare,,Kildare,R14DK12,598633151.0,secretary@ardscoil.ie,MR. JOHN MC CORMACK,N,Mixed,Day,No subjects taught through Irish,N,N,CATHOLIC,Open,426,419,845,,,,,,,,,,,,,,,,,,,,
414,70650L,Athy Community College,http://www.athycollege.ie/,Tomard,Athy,Co Kildare,,Kildare,R14KT50,598631795.0,mail@athycollege.ie,Richard Daly,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,189,232,421,,,,,,,,,,,,,,,,,,,,
415,70660O,Curragh Post-Primary School, http://www.curraghpps.ie/,McSwiney Road,Curragh,Co Kildare,,Kildare,R56FW68,45441809.0,nessadoyle@kwetb.ie,Nessa Doyle,Y,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,67,85,152,,,,,,,,,,,,,,,,,,,,
416,70670R,Colaiste Lorcain,http://www.colaistelorcain.com/,Castledermot,Co. Kildare,,,Kildare,R14X620,599144167.0,info@colaistelorcain.com,Eric Gaughran,N,Mixed,Day,No subjects taught through Irish,N,N,INTER DENOMINATIONAL,Open,204,223,427,,,,,,,,,,,,,,,,,,,,
